"county","state","median_income","cum_county","cum_median_income"
"Runnels","Texas","63,490","49.03%","59.46%"
"Castro","Texas","63,485","49.06%","59.49%"
"Jones","Texas","63,472","49.09%","59.52%"
"Marquette","Wisconsin","63,471","49.12%","59.55%"
"Chemung","New York","63,469","49.15%","59.58%"
"Marion","Indiana","63,450","49.18%","59.61%"
"Lafourche Parish","Louisiana","63,439","49.21%","59.64%"
"Marion","Kansas","63,438","49.24%","59.67%"
"Powell","Montana","63,432","49.27%","59.7%"
"Pocahontas","Iowa","63,423","49.3%","59.73%"
"Marinette","Wisconsin","63,401","49.34%","59.76%"
"Monroe","Indiana","63,372","49.37%","59.79%"
"Lubbock","Texas","63,367","49.4%","59.82%"
"Perry","Missouri","63,356","49.43%","59.85%"
"Saline","Kansas","63,316","49.46%","59.88%"
"Chariton","Missouri","63,307","49.49%","59.91%"
"Penobscot","Maine","63,248","49.52%","59.95%"
"Pierce","North Dakota","63,214","49.55%","59.98%"
"Harrison","Kentucky","63,205","49.58%","60.01%"
"Gove","Kansas","63,203","49.61%","60.04%"
"Rowan","North Carolina","63,196","49.64%","60.07%"
"Hernando","Florida","63,193","49.68%","60.1%"
"Montgomery","Iowa","63,190","49.71%","60.13%"
"Trousdale","Tennessee","63,190","49.74%","60.16%"
"Anderson","Tennessee","63,171","49.77%","60.19%"
"Berrien","Michigan","63,152","49.8%","60.22%"
"Hill","Texas","63,147","49.83%","60.25%"
"Taylor","Wisconsin","63,142","49.86%","60.28%"
"Clay","Kansas","63,136","49.89%","60.31%"
"Adams","Indiana","63,128","49.92%","60.34%"
"Hodgeman","Kansas","63,125","49.95%","60.37%"
"Dickey","North Dakota","63,125","49.98%","60.4%"
"Wexford","Michigan","63,123","50.02%","60.43%"
"Mercer","Kentucky","63,115","50.05%","60.46%"
"Lincoln","Tennessee","63,115","50.08%","60.49%"
"Thayer","Nebraska","63,095","50.11%","60.52%"
"Champaign","Illinois","63,091","50.14%","60.55%"
"Jefferson","Tennessee","63,084","50.17%","60.58%"
"Beadle","South Dakota","63,082","50.2%","60.61%"
"East Baton Rouge Parish","Louisiana","63,075","50.23%","60.64%"
"Lee","North Carolina","63,060","50.26%","60.67%"
"Todd","Minnesota","63,039","50.29%","60.7%"
"Towner","North Dakota","63,017","50.32%","60.73%"
"Montezuma","Colorado","63,005","50.36%","60.76%"
"Martin","Minnesota","62,969","50.39%","60.79%"
"Highland","Virginia","62,946","50.42%","60.82%"
"Monona","Iowa","62,944","50.45%","60.85%"
"Love","Oklahoma","62,940","50.48%","60.88%"
"Starke","Indiana","62,933","50.51%","60.91%"
"Tioga","Pennsylvania","62,932","50.54%","60.94%"
"Camden","Missouri","62,927","50.57%","60.97%"
"Montgomery","New York","62,923","50.6%","61%"
"Heard","Georgia","62,907","50.63%","61.03%"
"Clark","South Dakota","62,885","50.66%","61.06%"
"Fulton","Indiana","62,878","50.7%","61.09%"
"Motley","Texas","62,857","50.73%","61.12%"
"Delta","Texas","62,855","50.76%","61.15%"
"Merrick","Nebraska","62,849","50.79%","61.18%"
"Tuscola","Michigan","62,847","50.82%","61.21%"
"Ida","Iowa","62,841","50.85%","61.24%"
"Cuyahoga","Ohio","62,823","50.88%","61.27%"
"Sussex","Virginia","62,821","50.91%","61.3%"
"Montague","Texas","62,818","50.94%","61.33%"
"Smith","Tennessee","62,799","50.97%","61.36%"
"Upshur","Texas","62,794","51%","61.39%"
"Florence","Wisconsin","62,786","51.04%","61.42%"
"Chase","Nebraska","62,782","51.07%","61.45%"
"Washington","Virginia","62,774","51.1%","61.48%"
"Franklin","Florida","62,734","51.13%","61.51%"
"Huntington","Indiana","62,734","51.16%","61.54%"
"Walworth","South Dakota","62,722","51.19%","61.57%"
"Roger Mills","Oklahoma","62,721","51.22%","61.6%"
"Monongalia","West Virginia","62,704","51.25%","61.63%"
"Scurry","Texas","62,689","51.28%","61.66%"
"Richmond city","Virginia","62,671","51.31%","61.69%"
"Richland","Wisconsin","62,649","51.34%","61.72%"
"Washakie","Wyoming","62,648","51.38%","61.75%"
"Madison","Indiana","62,632","51.41%","61.78%"
"Howard","Missouri","62,628","51.44%","61.81%"
"Fulton","New York","62,615","51.47%","61.84%"
"Campbell","Virginia","62,608","51.5%","61.87%"
"Swift","Minnesota","62,601","51.53%","61.9%"
"Panola","Texas","62,593","51.56%","61.93%"
"Staunton city","Virginia","62,586","51.59%","61.96%"
"Massac","Illinois","62,584","51.62%","61.99%"
"Garrard","Kentucky","62,572","51.65%","62.02%"
"Pontotoc","Oklahoma","62,564","51.68%","62.05%"
"Floyd","Georgia","62,540","51.72%","62.08%"
"Fountain","Indiana","62,526","51.75%","62.11%"
"Wood","Texas","62,524","51.78%","62.14%"
"Grand","Utah","62,521","51.81%","62.17%"
"Caldwell","Missouri","62,520","51.84%","62.2%"
"Webb","Texas","62,506","51.87%","62.23%"
"Hoonah-Angoon Census Area","Alaska","62,500","51.9%","62.26%"
"Pope","Illinois","62,500","51.93%","62.29%"
"Slope","North Dakota","62,500","51.96%","62.32%"
"Sandusky","Ohio","62,500","51.99%","62.35%"
"Howard","Indiana","62,496","52.02%","62.38%"
"Bradford","Pennsylvania","62,482","52.06%","62.41%"
"Washington","Kansas","62,452","52.09%","62.44%"
"Macon","Illinois","62,449","52.12%","62.47%"
"Iroquois","Illinois","62,439","52.15%","62.5%"
"Boundary","Idaho","62,438","52.18%","62.52%"
"Davidson","North Carolina","62,426","52.21%","62.55%"
"Garfield","Washington","62,411","52.24%","62.58%"
"Madison","Kentucky","62,407","52.27%","62.61%"
"Gooding","Idaho","62,395","52.3%","62.64%"
"McCracken","Kentucky","62,385","52.33%","62.67%"
"Pacific","Washington","62,350","52.36%","62.7%"
"Shelby","Tennessee","62,337","52.4%","62.73%"
"Appomattox","Virginia","62,337","52.43%","62.76%"
"Clayton","Iowa","62,326","52.46%","62.79%"
"Luzerne","Pennsylvania","62,321","52.49%","62.82%"
"Mason","Michigan","62,296","52.52%","62.85%"
"Stark","Illinois","62,284","52.55%","62.88%"
"Day","South Dakota","62,270","52.58%","62.91%"
"Seward","Kansas","62,269","52.61%","62.94%"
"Pueblo","Colorado","62,250","52.64%","62.97%"
"Gallatin","Kentucky","62,247","52.67%","63%"
"Bedford","Tennessee","62,197","52.7%","63.03%"
"Wayne","Pennsylvania","62,182","52.74%","63.06%"
"Wichita","Texas","62,168","52.77%","63.09%"
"Rio Grande","Colorado","62,166","52.8%","63.12%"
"Atchison","Kansas","62,164","52.83%","63.15%"
"Nottoway","Virginia","62,161","52.86%","63.18%"
"Mason","Illinois","62,127","52.89%","63.21%"
"Milwaukee","Wisconsin","62,118","52.92%","63.24%"
"Chenango","New York","62,093","52.95%","63.27%"
"Ralls","Missouri","62,054","52.98%","63.3%"
"Stewart","Tennessee","62,052","53.01%","63.33%"
"McPherson","South Dakota","62,024","53.04%","63.36%"
"Carlisle","Kentucky","62,019","53.08%","63.39%"
"Highland","Ohio","62,008","53.11%","63.42%"
"Allen","Ohio","62,001","53.14%","63.45%"
"Gordon","Georgia","61,997","53.17%","63.48%"
"Columbia","Pennsylvania","61,992","53.2%","63.5%"
"Washita","Oklahoma","61,980","53.23%","63.53%"
"Linn","Missouri","61,975","53.26%","63.56%"
"Lake","Montana","61,965","53.29%","63.59%"
"Branch","Michigan","61,958","53.32%","63.62%"
"Stephenson","Illinois","61,943","53.35%","63.65%"
"Sherman","Nebraska","61,935","53.38%","63.68%"
"Newaygo","Michigan","61,931","53.42%","63.71%"
"Hamilton","Kansas","61,929","53.45%","63.74%"
"Stevens","Kansas","61,909","53.48%","63.77%"
"Murray","Oklahoma","61,904","53.51%","63.8%"
"St. Lawrence","New York","61,900","53.54%","63.83%"
"Dickinson","Michigan","61,882","53.57%","63.86%"
"Chilton","Alabama","61,873","53.6%","63.89%"
"Taylor","Kentucky","61,871","53.63%","63.92%"
"Missaukee","Michigan","61,868","53.66%","63.95%"
"Montgomery","Illinois","61,863","53.69%","63.98%"
"Union","Tennessee","61,858","53.72%","64.01%"
"Kidder","North Dakota","61,850","53.76%","64.04%"
"Creek","Oklahoma","61,849","53.79%","64.07%"
"Tehama","California","61,834","53.82%","64.1%"
"Williams","Ohio","61,834","53.85%","64.13%"
"Grant","Oklahoma","61,824","53.88%","64.16%"
"Benton","Indiana","61,811","53.91%","64.18%"
"Lavaca","Texas","61,768","53.94%","64.21%"
"Aransas","Texas","61,754","53.97%","64.24%"
"Jackson","Texas","61,752","54%","64.27%"
"Garfield","Montana","61,750","54.03%","64.3%"
"Pendleton","West Virginia","61,738","54.06%","64.33%"
"Echols","Georgia","61,723","54.1%","64.36%"
"Carroll","Missouri","61,712","54.13%","64.39%"
"Bath","Virginia","61,709","54.16%","64.42%"
"McKean","Pennsylvania","61,705","54.19%","64.45%"
"Richland","South Carolina","61,699","54.22%","64.48%"
"Garfield","Utah","61,688","54.25%","64.51%"
"Burnett","Wisconsin","61,664","54.28%","64.54%"
"Cass","Iowa","61,657","54.31%","64.57%"
"Boyle","Kentucky","61,635","54.34%","64.6%"
"Stanly","North Carolina","61,631","54.37%","64.63%"
"Venango","Pennsylvania","61,626","54.4%","64.66%"
"Pamlico","North Carolina","61,624","54.44%","64.69%"
"Cheboygan","Michigan","61,619","54.47%","64.71%"
"Gates","North Carolina","61,612","54.5%","64.74%"
"Bond","Illinois","61,603","54.53%","64.77%"
"Rooks","Kansas","61,596","54.56%","64.8%"
"Franklin","Tennessee","61,553","54.59%","64.83%"
"Logan","Kentucky","61,535","54.62%","64.86%"
"Grant","West Virginia","61,530","54.65%","64.89%"
"Hamilton","Illinois","61,520","54.68%","64.92%"
"Jackson","Oklahoma","61,497","54.71%","64.95%"
"Erie","Pennsylvania","61,476","54.74%","64.98%"
"Giles","Tennessee","61,476","54.78%","65.01%"
"Rabun","Georgia","61,466","54.81%","65.04%"
"Deuel","Nebraska","61,438","54.84%","65.07%"
"Mifflin","Pennsylvania","61,415","54.87%","65.1%"
"Davison","South Dakota","61,401","54.9%","65.13%"
"Floyd","Virginia","61,401","54.93%","65.16%"
"Bland","Virginia","61,375","54.96%","65.18%"
"Preston","West Virginia","61,373","54.99%","65.21%"
"Hocking","Ohio","61,366","55.02%","65.24%"
"Maries","Missouri","61,359","55.05%","65.27%"
"Washington","Indiana","61,358","55.09%","65.3%"
"Washington","Ohio","61,355","55.12%","65.33%"
"Wells","North Dakota","61,346","55.15%","65.36%"
"Logan","North Dakota","61,339","55.18%","65.39%"
"Moore","Texas","61,325","55.21%","65.42%"
"Stone","Missouri","61,323","55.24%","65.45%"
"Ramsey","North Dakota","61,319","55.27%","65.48%"
"McPherson","Nebraska","61,316","55.3%","65.51%"
"Lincoln","Oregon","61,314","55.33%","65.54%"
"Ste. Genevieve","Missouri","61,310","55.36%","65.57%"
"Bon Homme","South Dakota","61,275","55.39%","65.59%"
"Washburn","Wisconsin","61,270","55.43%","65.62%"
"Blaine","Nebraska","61,250","55.46%","65.65%"
"Stonewall","Texas","61,250","55.49%","65.68%"
"Phillips","Kansas","61,235","55.52%","65.71%"
"Allegany","New York","61,233","55.55%","65.74%"
"Perquimans","North Carolina","61,224","55.58%","65.77%"
"Lake","Oregon","61,222","55.61%","65.8%"
"Washington","Oklahoma","61,205","55.64%","65.83%"
"Hardeman","Texas","61,179","55.67%","65.86%"
"Lyman","South Dakota","61,169","55.7%","65.89%"
"Doddridge","West Virginia","61,164","55.73%","65.92%"
"Humboldt","California","61,135","55.77%","65.95%"
"Miami","Indiana","61,130","55.8%","65.97%"
"Gratiot","Michigan","61,128","55.83%","66%"
"Lee","Alabama","61,123","55.86%","66.03%"
"Lamar","Texas","61,122","55.89%","66.06%"
"Randolph","Indiana","61,121","55.92%","66.09%"
"Mineral","Montana","61,117","55.95%","66.12%"
"Grant Parish","Louisiana","61,112","55.98%","66.15%"
"Jefferson","Illinois","61,102","56.01%","66.18%"
"Perry","Indiana","61,099","56.04%","66.21%"
"Blount","Alabama","61,096","56.07%","66.24%"
"Gilchrist","Florida","61,070","56.11%","66.27%"
"Broome","New York","61,059","56.14%","66.3%"
"Fall River","South Dakota","61,056","56.17%","66.32%"
"Washington","Tennessee","61,051","56.2%","66.35%"
"Montgomery","Missouri","61,042","56.23%","66.38%"
"Pleasants","West Virginia","61,038","56.26%","66.41%"
"Fremont","Colorado","61,027","56.29%","66.44%"
"Hancock","West Virginia","61,017","56.32%","66.47%"
"Polk","North Carolina","61,005","56.35%","66.5%"
"Haywood","North Carolina","61,001","56.38%","66.53%"
"Union","Kentucky","60,989","56.41%","66.56%"
"Greene","Illinois","60,976","56.45%","66.59%"
"Idaho","Idaho","60,975","56.48%","66.62%"
"Scotts Bluff","Nebraska","60,960","56.51%","66.64%"
"Marshall","Alabama","60,946","56.54%","66.67%"
"Vanderburgh","Indiana","60,938","56.57%","66.7%"
"Cullman","Alabama","60,916","56.6%","66.73%"
"Crawford","Georgia","60,905","56.63%","66.76%"
"Manistee","Michigan","60,879","56.66%","66.79%"
"Carroll","Illinois","60,871","56.69%","66.82%"
"Hillsdale","Michigan","60,869","56.72%","66.85%"
"Keokuk","Iowa","60,856","56.75%","66.88%"
"Clark","Ohio","60,846","56.79%","66.91%"
"Marion","Illinois","60,839","56.82%","66.94%"
"Arkansas","Arkansas","60,831","56.85%","66.96%"
"Pottawatomie","Oklahoma","60,828","56.88%","66.99%"
"Ford","Illinois","60,782","56.91%","67.02%"
"Lawrence","Pennsylvania","60,779","56.94%","67.05%"
"Pulaski","Virginia","60,767","56.97%","67.08%"
"Henry","Kentucky","60,736","57%","67.11%"
"Nash","North Carolina","60,704","57.03%","67.14%"
"Philadelphia","Pennsylvania","60,698","57.06%","67.17%"
"Lafayette","Florida","60,692","57.09%","67.2%"
"Genesee","Michigan","60,673","57.13%","67.23%"
"Clarion","Pennsylvania","60,668","57.16%","67.25%"
"Daviess","Missouri","60,665","57.19%","67.28%"
"Des Moines","Iowa","60,662","57.22%","67.31%"
"Boyd","Kentucky","60,659","57.25%","67.34%"
"Coffee","Tennessee","60,656","57.28%","67.37%"
"Chippewa","Michigan","60,631","57.31%","67.4%"
"Furnas","Nebraska","60,625","57.34%","67.43%"
"Mercer","Pennsylvania","60,614","57.37%","67.46%"
"Blair","Pennsylvania","60,594","57.4%","67.49%"
"Wyandotte","Kansas","60,582","57.43%","67.52%"
"Jefferson","Nebraska","60,568","57.47%","67.54%"
"Dewey","Oklahoma","60,550","57.5%","67.57%"
"Big Horn","Wyoming","60,547","57.53%","67.6%"
"Chester","Tennessee","60,543","57.56%","67.63%"
"Bay","Michigan","60,523","57.59%","67.66%"
"Washington","Alabama","60,503","57.62%","67.69%"
"Reno","Kansas","60,498","57.65%","67.72%"
"Dorchester","Maryland","60,495","57.68%","67.75%"
"Osage","Oklahoma","60,482","57.71%","67.78%"
"Yuma","Arizona","60,417","57.74%","67.8%"
"Richland","Illinois","60,404","57.77%","67.83%"
"Pulaski","Arkansas","60,385","57.81%","67.86%"
"Calhoun","Michigan","60,385","57.84%","67.89%"
"Phillips","Colorado","60,372","57.87%","67.92%"
"Kalkaska","Michigan","60,365","57.9%","67.95%"
"Crawford","Arkansas","60,362","57.93%","67.98%"
"Mercer","Missouri","60,357","57.96%","68.01%"
"Sumner","Kansas","60,348","57.99%","68.03%"
"Childress","Texas","60,333","58.02%","68.06%"
"Marshall","West Virginia","60,329","58.05%","68.09%"
"Yadkin","North Carolina","60,321","58.08%","68.12%"
"Hayes","Nebraska","60,313","58.11%","68.15%"
"Keya Paha","Nebraska","60,313","58.15%","68.18%"
"Cotton","Oklahoma","60,313","58.18%","68.21%"
"Coos","Oregon","60,313","58.21%","68.24%"
"Bedford","Pennsylvania","60,302","58.24%","68.26%"
"Hampshire","West Virginia","60,299","58.27%","68.29%"
"Okanogan","Washington","60,293","58.3%","68.32%"
"Rush","Kansas","60,288","58.33%","68.35%"
"Van Buren","Tennessee","60,281","58.36%","68.38%"
"Wallace","Kansas","60,263","58.39%","68.41%"
"Crawford","Pennsylvania","60,254","58.42%","68.44%"
"Stephens","Oklahoma","60,236","58.45%","68.47%"
"Pettis","Missouri","60,232","58.49%","68.5%"
"Polk","Tennessee","60,227","58.52%","68.52%"
"Delaware","New York","60,226","58.55%","68.55%"
"Spalding","Georgia","60,217","58.58%","68.58%"
"Oconee","South Carolina","60,193","58.61%","68.61%"
"Van Buren","Iowa","60,183","58.64%","68.64%"
"Greer","Oklahoma","60,183","58.67%","68.67%"
"Clearfield","Pennsylvania","60,181","58.7%","68.7%"
"Stutsman","North Dakota","60,172","58.73%","68.73%"
"Collingsworth","Texas","60,165","58.76%","68.75%"
"Loup","Nebraska","60,156","58.79%","68.78%"
"Livingston","Missouri","60,148","58.83%","68.81%"
"Henry","Indiana","60,144","58.86%","68.84%"
"Thomas","Georgia","60,140","58.89%","68.87%"
"Henry","Alabama","60,135","58.92%","68.9%"
"Nemaha","Nebraska","60,132","58.95%","68.93%"
"Frio","Texas","60,098","58.98%","68.95%"
"Hoke","North Carolina","60,095","59.01%","68.98%"
"Lucas","Ohio","60,095","59.04%","69.01%"
"Perry","Arkansas","60,078","59.07%","69.04%"
"Yuma","Colorado","60,051","59.1%","69.07%"
"Fayette","Ohio","60,047","59.13%","69.1%"
"Lawrence","Alabama","60,040","59.17%","69.13%"
"Stokes","North Carolina","60,039","59.2%","69.16%"
"Wapello","Iowa","60,034","59.23%","69.18%"
"Sierra","California","60,000","59.26%","69.21%"
"Red Willow","Nebraska","60,000","59.29%","69.24%"
"Jefferson","Indiana","59,987","59.32%","69.27%"
"Leon","Texas","59,975","59.35%","69.3%"
"Webster","Mississippi","59,964","59.38%","69.33%"
"Pulaski","Indiana","59,956","59.41%","69.36%"
"Comanche","Texas","59,946","59.44%","69.38%"
"Jefferson","Texas","59,934","59.47%","69.41%"
"Sabine","Texas","59,924","59.51%","69.44%"
"Crane","Texas","59,915","59.54%","69.47%"
"Ellis","Kansas","59,889","59.57%","69.5%"
"Albany","Wyoming","59,881","59.6%","69.53%"
"Potter","Pennsylvania","59,840","59.63%","69.56%"
"Cherokee","Texas","59,830","59.66%","69.58%"
"Kingman","Kansas","59,819","59.69%","69.61%"
"Ross","Ohio","59,819","59.72%","69.64%"
"Kit Carson","Colorado","59,810","59.75%","69.67%"
"Lynchburg city","Virginia","59,808","59.78%","69.7%"
"Lee","Iowa","59,803","59.81%","69.73%"
"Grant","Oregon","59,800","59.85%","69.76%"
"Owyhee","Idaho","59,773","59.88%","69.78%"
"Morrill","Nebraska","59,773","59.91%","69.81%"
"Westmoreland","Virginia","59,766","59.94%","69.84%"
"Washington","Kentucky","59,762","59.97%","69.87%"
"Power","Idaho","59,760","60%","69.9%"
"Greene","Indiana","59,753","60.03%","69.93%"
"Harrisonburg city","Virginia","59,752","60.06%","69.96%"
"Bradford","Florida","59,740","60.09%","69.98%"
"Fergus","Montana","59,731","60.12%","70.01%"
"Forest","Wisconsin","59,727","60.15%","70.04%"
"Livingston","Kentucky","59,713","60.19%","70.07%"
"Owen","Kentucky","59,706","60.22%","70.1%"
"McMinn","Tennessee","59,674","60.25%","70.13%"
"Val Verde","Texas","59,673","60.28%","70.16%"
"Newberry","South Carolina","59,670","60.31%","70.18%"
"Alachua","Florida","59,659","60.34%","70.21%"
"Schley","Georgia","59,647","60.37%","70.24%"
"Concho","Texas","59,632","60.4%","70.27%"
"Baltimore city","Maryland","59,623","60.43%","70.3%"
"Greenup","Kentucky","59,613","60.46%","70.33%"
"Owen","Indiana","59,586","60.49%","70.35%"
"Jasper","Georgia","59,574","60.53%","70.38%"
"Riley","Kansas","59,560","60.56%","70.41%"
"Goliad","Texas","59,556","60.59%","70.44%"
"Menominee","Wisconsin","59,528","60.62%","70.47%"
"San Jacinto","Texas","59,526","60.65%","70.5%"
"Bracken","Kentucky","59,521","60.68%","70.53%"
"Wayne","Michigan","59,521","60.71%","70.55%"
"Itawamba","Mississippi","59,508","60.74%","70.58%"
"Sherman","Oregon","59,500","60.77%","70.61%"
"Aitkin","Minnesota","59,498","60.8%","70.64%"
"Johnson","Nebraska","59,457","60.83%","70.67%"
"Kimball","Nebraska","59,438","60.87%","70.7%"
"Lincoln","Oklahoma","59,425","60.9%","70.72%"
"Buchanan","Missouri","59,423","60.93%","70.75%"
"Pickens","South Carolina","59,411","60.96%","70.78%"
"Osborne","Kansas","59,408","60.99%","70.81%"
"Caswell","North Carolina","59,407","61.02%","70.84%"
"Alger","Michigan","59,406","61.05%","70.87%"
"Page","Virginia","59,396","61.08%","70.89%"
"Edwards","Illinois","59,386","61.11%","70.92%"
"Somerset","Pennsylvania","59,378","61.14%","70.95%"
"Vermillion","Indiana","59,363","61.17%","70.98%"
"Gonzales","Texas","59,355","61.21%","71.01%"
"Klamath","Oregon","59,353","61.24%","71.04%"
"Pointe Coupee Parish","Louisiana","59,351","61.27%","71.06%"
"Humphreys","Tennessee","59,333","61.3%","71.09%"
"Petroleum","Montana","59,318","61.33%","71.12%"
"Navarro","Texas","59,310","61.36%","71.15%"
"Stone","Mississippi","59,307","61.39%","71.18%"
"Blaine","Oklahoma","59,304","61.42%","71.21%"
"Bowie","Texas","59,295","61.45%","71.23%"
"Adams","Idaho","59,286","61.48%","71.26%"
"Perry","Illinois","59,286","61.51%","71.29%"
"Texas","Oklahoma","59,275","61.55%","71.32%"
"Atchison","Missouri","59,260","61.58%","71.35%"
"Christian","Illinois","59,253","61.61%","71.38%"
"Haakon","South Dakota","59,231","61.64%","71.4%"
"Butts","Georgia","59,221","61.67%","71.43%"
"Chattahoochee","Georgia","59,221","61.7%","71.46%"
"Titus","Texas","59,220","61.73%","71.49%"
"Muskingum","Ohio","59,203","61.76%","71.52%"
"Linn","Kansas","59,200","61.79%","71.55%"
"Buckingham","Virginia","59,199","61.82%","71.57%"
"Harper","Oklahoma","59,191","61.85%","71.6%"
"Greene","Iowa","59,159","61.89%","71.63%"
"Adams","Wisconsin","59,153","61.92%","71.66%"
"Wayne","Iowa","59,118","61.95%","71.69%"
"Karnes","Texas","59,103","61.98%","71.71%"
"Josephine","Oregon","59,097","62.01%","71.74%"
"Gila","Arizona","59,089","62.04%","71.77%"
"Lauderdale","Alabama","59,082","62.07%","71.8%"
"Prince of Wales-Hyder Census Area","Alaska","59,079","62.1%","71.83%"
"Lyon","Kansas","59,078","62.13%","71.86%"
"Milam","Texas","59,076","62.16%","71.88%"
"Sanilac","Michigan","59,074","62.19%","71.91%"
"Polk","Texas","59,066","62.23%","71.94%"
"Iron","Wisconsin","59,058","62.26%","71.97%"
"Sawyer","Wisconsin","59,055","62.29%","72%"
"Crockett","Tennessee","59,049","62.32%","72.03%"
"Randolph","North Carolina","59,047","62.35%","72.05%"
"Allen","Kentucky","59,029","62.38%","72.08%"
"Liberty","Georgia","59,013","62.41%","72.11%"
"Warren","Pennsylvania","59,013","62.44%","72.14%"
"Musselshell","Montana","59,010","62.47%","72.17%"
"Gibson","Tennessee","59,009","62.5%","72.19%"
"Shannon","Missouri","59,000","62.53%","72.22%"
"Comanche","Oklahoma","59,000","62.57%","72.25%"
"Essex","Vermont","58,985","62.6%","72.28%"
"Boyd","Nebraska","58,984","62.63%","72.31%"
"Douglas","Oregon","58,983","62.66%","72.33%"
"Elmore","Idaho","58,976","62.69%","72.36%"
"Portsmouth city","Virginia","58,972","62.72%","72.39%"
"Cochise","Arizona","58,970","62.75%","72.42%"
"Monroe","Ohio","58,962","62.78%","72.45%"
"Dade","Georgia","58,936","62.81%","72.48%"
"Taos","New Mexico","58,908","62.84%","72.5%"
"Valley","Nebraska","58,902","62.87%","72.53%"
"Greeley","Nebraska","58,894","62.91%","72.56%"
"Kanawha","West Virginia","58,887","62.94%","72.59%"
"Brown","Kansas","58,886","62.97%","72.62%"
"Yell","Arkansas","58,870","63%","72.64%"
"Throckmorton","Texas","58,864","63.03%","72.67%"
"Knox","Indiana","58,863","63.06%","72.7%"
"El Paso","Texas","58,859","63.09%","72.73%"
"Carter","Oklahoma","58,856","63.12%","72.76%"
"Tripp","South Dakota","58,854","63.15%","72.78%"
"Pitt","North Carolina","58,851","63.18%","72.81%"
"Scott","Missouri","58,847","63.21%","72.84%"
"Angelina","Texas","58,847","63.25%","72.87%"
"Anderson","Texas","58,846","63.28%","72.9%"
"Clinton","Pennsylvania","58,842","63.31%","72.93%"
"Cottle","Texas","58,819","63.34%","72.95%"
"Clay","South Dakota","58,794","63.37%","72.98%"
"Webster","Kentucky","58,786","63.4%","73.01%"
"Madison","Georgia","58,784","63.43%","73.04%"
"Cumberland","North Carolina","58,780","63.46%","73.07%"
"Fayette","Iowa","58,764","63.49%","73.09%"
"Daggett","Utah","58,750","63.52%","73.12%"
"Indiana","Pennsylvania","58,739","63.55%","73.15%"
"Lake","California","58,738","63.59%","73.18%"
"Price","Wisconsin","58,720","63.62%","73.21%"
"Madison","North Carolina","58,628","63.65%","73.23%"
"Tippecanoe","Indiana","58,622","63.68%","73.26%"
"Fulton","Illinois","58,617","63.71%","73.29%"
"Crawford","Michigan","58,614","63.74%","73.32%"
"Mackinac","Michigan","58,598","63.77%","73.35%"
"Marion","Florida","58,535","63.8%","73.37%"
"Franklin","Maine","58,522","63.83%","73.4%"
"Holt","Missouri","58,516","63.86%","73.43%"
"Clayton","Georgia","58,507","63.89%","73.46%"
"Cumberland","Tennessee","58,475","63.93%","73.49%"
"Columbiana","Ohio","58,474","63.96%","73.51%"
"Freestone","Texas","58,460","63.99%","73.54%"
"Coos","New Hampshire","58,439","64.02%","73.57%"
"Madison","Missouri","58,435","64.05%","73.6%"
"Belmont","Ohio","58,411","64.08%","73.63%"
"Jackson","Ohio","58,409","64.11%","73.65%"
"Miller","Georgia","58,407","64.14%","73.68%"
"Towns","Georgia","58,400","64.17%","73.71%"
"Meigs","Tennessee","58,395","64.2%","73.74%"
"Brazos","Texas","58,388","64.23%","73.76%"
"Saginaw","Michigan","58,347","64.27%","73.79%"
"Valencia","New Mexico","58,333","64.3%","73.82%"
"Delta","Colorado","58,330","64.33%","73.85%"
"Harrison","West Virginia","58,326","64.36%","73.88%"
"Rusk","Wisconsin","58,322","64.39%","73.9%"
"Macon","Missouri","58,318","64.42%","73.93%"
"Tyler","West Virginia","58,293","64.45%","73.96%"
"Vernon Parish","Louisiana","58,281","64.48%","73.99%"
"Greenwood","Kansas","58,276","64.51%","74.02%"
"Cherokee","Kansas","58,274","64.54%","74.04%"
"Cowley","Kansas","58,263","64.57%","74.07%"
"Madison","Idaho","58,259","64.61%","74.1%"
"Taney","Missouri","58,258","64.64%","74.13%"
"Cattaraugus","New York","58,248","64.67%","74.15%"
"Henderson","Kentucky","58,239","64.7%","74.18%"
"Mitchell","Kansas","58,233","64.73%","74.21%"
"Madison","Tennessee","58,189","64.76%","74.24%"
"Phillips","Montana","58,156","64.79%","74.27%"
"Montgomery","Alabama","58,153","64.82%","74.29%"
"Rhea","Tennessee","58,133","64.85%","74.32%"
"Keith","Nebraska","58,132","64.88%","74.35%"
"Irion","Texas","58,125","64.91%","74.38%"
"Mobile","Alabama","58,119","64.95%","74.4%"
"Limestone","Texas","58,109","64.98%","74.43%"
"Marion","Tennessee","58,103","65.01%","74.46%"
"Cannon","Tennessee","58,092","65.04%","74.49%"
"Mitchell","North Carolina","58,089","65.07%","74.52%"
"Wayne","North Carolina","58,082","65.1%","74.54%"
"Fannin","Georgia","58,073","65.13%","74.57%"
"Beaverhead","Montana","58,072","65.16%","74.6%"
"Pike","Illinois","58,029","65.19%","74.63%"
"Refugio","Texas","58,016","65.22%","74.65%"
"Hardin","Ohio","58,001","65.26%","74.68%"
"Daniels","Montana","58,000","65.29%","74.71%"
"Faulk","South Dakota","58,000","65.32%","74.74%"
"Beaufort","North Carolina","57,997","65.35%","74.76%"
