"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Fentress","Tennessee","195,472","49.06%","71.67%"
"DeWitt","Texas","195,285","49.09%","71.69%"
"Erie","Ohio","195,192","49.12%","71.72%"
"St. James Parish","Louisiana","195,171","49.15%","71.74%"
"Hawkins","Tennessee","195,164","49.18%","71.77%"
"Isabella","Michigan","195,149","49.21%","71.8%"
"Jackson","Indiana","195,122","49.24%","71.82%"
"Ozark","Missouri","195,058","49.27%","71.85%"
"Unicoi","Tennessee","195,023","49.3%","71.88%"
"Lea","New Mexico","194,955","49.34%","71.9%"
"Carter","Missouri","194,828","49.37%","71.93%"
"Jackson","Tennessee","194,751","49.4%","71.96%"
"Carter","Tennessee","194,720","49.43%","71.98%"
"Jasper","Iowa","194,630","49.46%","72.01%"
"Wadena","Minnesota","194,597","49.49%","72.03%"
"Trigg","Kentucky","194,596","49.52%","72.06%"
"Shelby","Ohio","194,587","49.55%","72.09%"
"Owen","Indiana","194,562","49.58%","72.11%"
"Rusk","Texas","194,500","49.61%","72.14%"
"Harding","South Dakota","194,485","49.64%","72.16%"
"Piscataquis","Maine","194,396","49.68%","72.19%"
"Nelson","North Dakota","194,211","49.71%","72.22%"
"Val Verde","Texas","194,208","49.74%","72.24%"
"Ogle","Illinois","194,184","49.77%","72.27%"
"Cleveland","North Carolina","194,183","49.8%","72.3%"
"Pulaski","Arkansas","194,163","49.83%","72.32%"
"McCone","Montana","194,159","49.86%","72.35%"
"Mayes","Oklahoma","194,128","49.89%","72.37%"
"Fayette","Ohio","194,113","49.92%","72.4%"
"Nodaway","Missouri","194,059","49.95%","72.43%"
"Grant","Wisconsin","193,998","49.98%","72.45%"
"Forest","Wisconsin","193,955","50.02%","72.48%"
"Newton","Arkansas","193,942","50.05%","72.51%"
"Golden Valley","Montana","193,929","50.08%","72.53%"
"Pulaski","Virginia","193,926","50.11%","72.56%"
"Stephens","Georgia","193,901","50.14%","72.58%"
"Auglaize","Ohio","193,859","50.17%","72.61%"
"Claiborne","Tennessee","193,798","50.2%","72.64%"
"Grant","Arkansas","193,779","50.23%","72.66%"
"Crawford","Missouri","193,502","50.26%","72.69%"
"Clay","Texas","193,467","50.29%","72.71%"
"Camp","Texas","193,402","50.32%","72.74%"
"Adams","Indiana","193,206","50.36%","72.77%"
"Wilson","North Carolina","193,039","50.39%","72.79%"
"Lafayette","Wisconsin","192,910","50.42%","72.82%"
"Pottawattamie","Iowa","192,749","50.45%","72.84%"
"Jasper","Texas","192,564","50.48%","72.87%"
"Livingston","New York","192,488","50.51%","72.9%"
"Craig","Virginia","192,394","50.54%","72.92%"
"Tipton","Indiana","192,341","50.57%","72.95%"
"Franklin city","Virginia","192,305","50.6%","72.97%"
"Sedgwick","Kansas","192,203","50.63%","73%"
"Thomas","Georgia","192,164","50.66%","73.03%"
"Phelps","Nebraska","192,134","50.7%","73.05%"
"Carroll","Indiana","192,008","50.73%","73.08%"
"Maverick","Texas","191,993","50.76%","73.1%"
"Henry","Missouri","191,950","50.79%","73.13%"
"Somerset","Maine","191,908","50.82%","73.16%"
"Lowndes","Georgia","191,901","50.85%","73.18%"
"Buchanan","Iowa","191,840","50.88%","73.21%"
"Alger","Michigan","191,775","50.91%","73.23%"
"Jackson","Michigan","191,697","50.94%","73.26%"
"Campbell","Tennessee","191,550","50.97%","73.28%"
"Wibaux","Montana","191,397","51%","73.31%"
"Troup","Georgia","191,339","51.04%","73.34%"
"Ransom","North Dakota","191,336","51.07%","73.36%"
"Phelps","Missouri","191,295","51.1%","73.39%"
"Champaign","Illinois","191,198","51.13%","73.41%"
"Wolfe","Kentucky","191,174","51.16%","73.44%"
"Howell","Missouri","190,999","51.19%","73.46%"
"McPherson","Kansas","190,928","51.22%","73.49%"
"Gray","Kansas","190,887","51.25%","73.52%"
"Gates","North Carolina","190,859","51.28%","73.54%"
"Comanche","Texas","190,768","51.31%","73.57%"
"Perry","Ohio","190,729","51.34%","73.59%"
"Anderson","Texas","190,609","51.38%","73.62%"
"Pershing","Nevada","190,524","51.41%","73.64%"
"Harney","Oregon","190,428","51.44%","73.67%"
"Socorro","New Mexico","190,404","51.47%","73.7%"
"Brown","Minnesota","190,393","51.5%","73.72%"
"Big Horn","Montana","190,393","51.53%","73.75%"
"Gallatin","Kentucky","190,356","51.56%","73.77%"
"Angelina","Texas","190,327","51.59%","73.8%"
"Mackinac","Michigan","190,277","51.62%","73.82%"
"Fulton","Ohio","190,259","51.65%","73.85%"
"Caldwell","Missouri","190,092","51.68%","73.88%"
"Fallon","Montana","189,981","51.72%","73.9%"
"Surry","North Carolina","189,868","51.75%","73.93%"
"McDonald","Missouri","189,844","51.78%","73.95%"
"Taylor","Texas","189,832","51.81%","73.98%"
"Bath","Virginia","189,805","51.84%","74%"
"Grant","New Mexico","189,779","51.87%","74.03%"
"Rusk","Wisconsin","189,768","51.9%","74.05%"
"Davis","Iowa","189,669","51.93%","74.08%"
"Pulaski","Missouri","189,626","51.96%","74.11%"
"Butler","Nebraska","189,527","51.99%","74.13%"
"Van Buren","Tennessee","189,317","52.02%","74.16%"
"Harrison","Iowa","189,306","52.06%","74.18%"
"Jackson","Mississippi","189,267","52.09%","74.21%"
"Jefferson","Indiana","189,108","52.12%","74.23%"
"Larue","Kentucky","188,907","52.15%","74.26%"
"Madison","New York","188,885","52.18%","74.28%"
"Marshall","Minnesota","188,669","52.21%","74.31%"
"Warren","Indiana","188,602","52.24%","74.34%"
"Randolph","Alabama","188,507","52.27%","74.36%"
"Boone","Arkansas","188,338","52.3%","74.39%"
"Phillips","Montana","188,025","52.33%","74.41%"
"Kalkaska","Michigan","188,008","52.36%","74.44%"
"Montgomery","Indiana","187,891","52.4%","74.46%"
"Montgomery","Kentucky","187,825","52.43%","74.49%"
"Dixie","Florida","187,713","52.46%","74.51%"
"Bollinger","Missouri","187,614","52.49%","74.54%"
"Westmoreland","Pennsylvania","187,612","52.52%","74.56%"
"Yoakum","Texas","187,386","52.55%","74.59%"
"Wayne","New York","187,374","52.58%","74.61%"
"Osage","Oklahoma","187,302","52.61%","74.64%"
"Iron","Wisconsin","187,301","52.64%","74.66%"
"Piatt","Illinois","187,137","52.67%","74.69%"
"Abbeville","South Carolina","187,033","52.7%","74.71%"
"Bedford","Pennsylvania","186,989","52.74%","74.74%"
"Jack","Texas","186,980","52.77%","74.77%"
"Marshall","Mississippi","186,973","52.8%","74.79%"
"Wexford","Michigan","186,819","52.83%","74.82%"
"Grayson","Kentucky","186,720","52.86%","74.84%"
"Perry","Missouri","186,646","52.89%","74.87%"
"Lincoln","Nebraska","186,454","52.92%","74.89%"
"Gasconade","Missouri","186,431","52.95%","74.92%"
"Pontotoc","Mississippi","186,344","52.98%","74.94%"
"McLean","North Dakota","186,151","53.01%","74.97%"
"Beauregard Parish","Louisiana","186,127","53.04%","74.99%"
"Merrick","Nebraska","186,011","53.08%","75.02%"
"Renville","North Dakota","185,954","53.11%","75.04%"
"Brown","Texas","185,704","53.14%","75.07%"
"St. Joseph","Indiana","185,685","53.17%","75.09%"
"Howard","Missouri","185,558","53.2%","75.12%"
"Carroll","Ohio","185,553","53.23%","75.14%"
"Callahan","Texas","185,528","53.26%","75.17%"
"Creek","Oklahoma","185,342","53.29%","75.19%"
"White","Indiana","185,337","53.32%","75.22%"
"Jasper","Missouri","185,281","53.35%","75.24%"
"Jackson","Wisconsin","185,249","53.38%","75.27%"
"Karnes","Texas","185,194","53.42%","75.29%"
"Sabine","Texas","185,145","53.45%","75.32%"
"Branch","Michigan","185,131","53.48%","75.34%"
"Clinton","New York","185,073","53.51%","75.37%"
"Presque Isle","Michigan","185,026","53.54%","75.39%"
"Liberty","Montana","184,953","53.57%","75.42%"
"Summit","Ohio","184,918","53.6%","75.44%"
"Marion","Kentucky","184,906","53.63%","75.47%"
"Pendleton","Kentucky","184,827","53.66%","75.49%"
"Colfax","Nebraska","184,794","53.69%","75.52%"
"Washington","Indiana","184,774","53.72%","75.54%"
"Perkins","Nebraska","184,743","53.76%","75.57%"
"St. Joseph","Michigan","184,695","53.79%","75.59%"
"Trimble","Kentucky","184,668","53.82%","75.62%"
"Bowie","Texas","184,590","53.85%","75.64%"
"Oneida","New York","184,562","53.88%","75.67%"
"Petroleum","Montana","184,546","53.91%","75.69%"
"Love","Oklahoma","184,347","53.94%","75.72%"
"George","Mississippi","184,345","53.97%","75.74%"
"Crawford","Arkansas","184,323","54%","75.77%"
"Petersburg city","Virginia","184,274","54.03%","75.79%"
"Bowman","North Dakota","184,265","54.06%","75.81%"
"Price","Wisconsin","184,260","54.1%","75.84%"
"Wright","Missouri","184,056","54.13%","75.86%"
"Hancock","Georgia","183,973","54.16%","75.89%"
"Orange","Texas","183,961","54.19%","75.91%"
"Roanoke city","Virginia","183,758","54.22%","75.94%"
"Clinton","Illinois","183,748","54.25%","75.96%"
"Sheridan","Kansas","183,747","54.28%","75.99%"
"Grundy","Iowa","183,647","54.31%","76.01%"
"Lackawanna","Pennsylvania","183,645","54.34%","76.04%"
"Cameron","Texas","183,593","54.37%","76.06%"
"Jefferson","New York","183,546","54.4%","76.09%"
"Langlade","Wisconsin","183,484","54.44%","76.11%"
"Ward","Texas","183,430","54.47%","76.14%"
"Newton","Indiana","183,398","54.5%","76.16%"
"Daviess","Kentucky","183,278","54.53%","76.19%"
"Clark","South Dakota","183,233","54.56%","76.21%"
"Adams","Nebraska","183,154","54.59%","76.24%"
"Jennings","Indiana","182,982","54.62%","76.26%"
"Holmes","Florida","182,946","54.65%","76.28%"
"Benton","Missouri","182,916","54.68%","76.31%"
"Hillsdale","Michigan","182,791","54.71%","76.33%"
"Polk","Texas","182,675","54.74%","76.36%"
"Polk","Nebraska","182,659","54.78%","76.38%"
"Cherokee","South Carolina","182,635","54.81%","76.41%"
"Chickasaw","Iowa","182,504","54.84%","76.43%"
"Otsego","New York","182,414","54.87%","76.46%"
"Florence","South Carolina","182,347","54.9%","76.48%"
"Union","Indiana","182,219","54.93%","76.51%"
"Ingham","Michigan","182,044","54.96%","76.53%"
"Hamilton","Florida","182,028","54.99%","76.56%"
"Luzerne","Pennsylvania","181,853","55.02%","76.58%"
"Tuscarawas","Ohio","181,850","55.05%","76.6%"
"DeKalb","Alabama","181,648","55.09%","76.63%"
"Taylor","Florida","181,565","55.12%","76.65%"
"Clarendon","South Carolina","181,387","55.15%","76.68%"
"Reagan","Texas","181,337","55.18%","76.7%"
"Cerro Gordo","Iowa","181,273","55.21%","76.73%"
"Nemaha","Kansas","181,246","55.24%","76.75%"
"Tucker","West Virginia","180,941","55.27%","76.78%"
"Stone","Arkansas","180,911","55.3%","76.8%"
"Cherokee","Oklahoma","180,890","55.33%","76.82%"
"Cuyahoga","Ohio","180,505","55.36%","76.85%"
"Pope","Arkansas","180,501","55.39%","76.87%"
"Stephens","Texas","180,479","55.43%","76.9%"
"Wood","Wisconsin","180,417","55.46%","76.92%"
"Carroll","Iowa","180,367","55.49%","76.95%"
"Kankakee","Illinois","180,359","55.52%","76.97%"
"Preble","Ohio","180,339","55.55%","76.99%"
"Foster","North Dakota","180,331","55.58%","77.02%"
"Caswell","North Carolina","180,251","55.61%","77.04%"
"Uvalde","Texas","180,246","55.64%","77.07%"
"White Pine","Nevada","180,233","55.67%","77.09%"
"Coffee","Alabama","180,093","55.7%","77.12%"
"Cedar","Missouri","179,940","55.73%","77.14%"
"Baldwin","Georgia","179,754","55.77%","77.16%"
"Jackson","Alabama","179,664","55.8%","77.19%"
"Lawrence","Indiana","179,641","55.83%","77.21%"
"Saline","Nebraska","179,624","55.86%","77.24%"
"Allen","Kentucky","179,577","55.89%","77.26%"
"Houston","Tennessee","179,515","55.92%","77.29%"
"Lac qui Parle","Minnesota","179,512","55.95%","77.31%"
"Cayuga","New York","179,482","55.98%","77.33%"
"Washington","Ohio","179,313","56.01%","77.36%"
"Muscatine","Iowa","179,161","56.04%","77.38%"
"St. Helena Parish","Louisiana","179,042","56.07%","77.41%"
"Crawford","Wisconsin","179,033","56.11%","77.43%"
"Bee","Texas","178,898","56.14%","77.45%"
"Live Oak","Texas","178,812","56.17%","77.48%"
"Geary","Kansas","178,786","56.2%","77.5%"
"Delta","Texas","178,703","56.23%","77.53%"
"Ross","Ohio","178,617","56.26%","77.55%"
"Marshall","Oklahoma","178,605","56.29%","77.58%"
"Gadsden","Florida","178,586","56.32%","77.6%"
"Genesee","New York","178,426","56.35%","77.62%"
"Mitchell","Iowa","178,349","56.38%","77.65%"
"Adams","Illinois","178,307","56.41%","77.67%"
"Hickory","Missouri","178,244","56.45%","77.7%"
"Morgan","Tennessee","178,237","56.48%","77.72%"
"Walker","Alabama","178,223","56.51%","77.74%"
"Woodbury","Iowa","178,087","56.54%","77.77%"
"Clinton","Pennsylvania","178,070","56.57%","77.79%"
"Lanier","Georgia","177,986","56.6%","77.82%"
"Fulton","New York","177,947","56.63%","77.84%"
"Pointe Coupee Parish","Louisiana","177,844","56.66%","77.86%"
"Fairfield","South Carolina","177,716","56.69%","77.89%"
"Trinity","Texas","177,695","56.72%","77.91%"
"Henry","Tennessee","177,549","56.75%","77.94%"
"Columbus","North Carolina","177,491","56.79%","77.96%"
"Lee","Mississippi","177,479","56.82%","77.98%"
"Union","Mississippi","177,442","56.85%","78.01%"
"Mobile","Alabama","177,411","56.88%","78.03%"
"White","Arkansas","177,151","56.91%","78.06%"
"Miner","South Dakota","177,110","56.94%","78.08%"
"Tift","Georgia","177,053","56.97%","78.1%"
"Natchitoches Parish","Louisiana","176,979","57%","78.13%"
"Sebastian","Arkansas","176,888","57.03%","78.15%"
"Modoc","California","176,699","57.06%","78.17%"
"Seneca","New York","176,341","57.09%","78.2%"
"Shelby","Iowa","176,145","57.13%","78.22%"
"Saluda","South Carolina","176,111","57.16%","78.25%"
"Henderson","Tennessee","176,058","57.19%","78.27%"
"Jackson","Minnesota","175,975","57.22%","78.29%"
"Lynn","Texas","175,930","57.25%","78.32%"
"Tensas Parish","Louisiana","175,805","57.28%","78.34%"
"Mineral","West Virginia","175,756","57.31%","78.36%"
"Barren","Kentucky","175,711","57.34%","78.39%"
"Stark","Ohio","175,630","57.37%","78.41%"
"Winston","Alabama","175,568","57.4%","78.44%"
"Tyler","Texas","175,494","57.43%","78.46%"
"Chase","Nebraska","175,483","57.47%","78.48%"
"Sumter","South Carolina","175,430","57.5%","78.51%"
"Daniels","Montana","175,302","57.53%","78.53%"
"Greenlee","Arizona","175,257","57.56%","78.55%"
"Atoka","Oklahoma","175,114","57.59%","78.58%"
"Hardin","Tennessee","174,970","57.62%","78.6%"
"St. Clair","Missouri","174,784","57.65%","78.62%"
"Clinton","Indiana","174,695","57.68%","78.65%"
"Dawson","Montana","174,682","57.71%","78.67%"
"Hidalgo","Texas","174,659","57.74%","78.69%"
"Dawson","Nebraska","174,589","57.77%","78.72%"
"Todd","Kentucky","174,432","57.81%","78.74%"
"Darke","Ohio","174,366","57.84%","78.77%"
"Lawrence","Missouri","174,325","57.87%","78.79%"
"Starke","Indiana","174,209","57.9%","78.81%"
"Baltimore city","Maryland","174,125","57.93%","78.84%"
"Washington","Maine","174,102","57.96%","78.86%"
"Somerset","Maryland","173,905","57.99%","78.88%"
"Shiawassee","Michigan","173,778","58.02%","78.91%"
"Niobrara","Wyoming","173,765","58.05%","78.93%"
"Rockingham","North Carolina","173,588","58.08%","78.95%"
"Calloway","Kentucky","173,496","58.11%","78.98%"
"Wayne","Georgia","173,438","58.15%","79%"
"Renville","Minnesota","173,432","58.18%","79.02%"
"Cherry","Nebraska","173,387","58.21%","79.05%"
"Ashland","Wisconsin","173,314","58.24%","79.07%"
"Richmond","Georgia","173,263","58.27%","79.09%"
"Clark","Wisconsin","173,250","58.3%","79.12%"
"Shawnee","Kansas","173,220","58.33%","79.14%"
"Osage","Kansas","173,207","58.36%","79.16%"
"Menard","Illinois","173,202","58.39%","79.19%"
"Meriwether","Georgia","173,195","58.42%","79.21%"
"Bradford","Pennsylvania","173,087","58.45%","79.23%"
"Logan","Kentucky","173,016","58.49%","79.26%"
"Patrick","Virginia","172,936","58.52%","79.28%"
"Taylor","Kentucky","172,700","58.55%","79.3%"
"Clay","Tennessee","172,610","58.58%","79.33%"
"Gibson","Indiana","172,568","58.61%","79.35%"
"Houston","Alabama","172,262","58.64%","79.37%"
"Clay","Iowa","172,109","58.67%","79.4%"
"Coosa","Alabama","172,064","58.7%","79.42%"
"Nottoway","Virginia","172,059","58.73%","79.44%"
"Wyandotte","Kansas","171,986","58.76%","79.47%"
"Pendleton","West Virginia","171,963","58.79%","79.49%"
"Colbert","Alabama","171,915","58.83%","79.51%"
"Butler","Kentucky","171,859","58.86%","79.54%"
"Noble","Ohio","171,764","58.89%","79.56%"
"Wythe","Virginia","171,624","58.92%","79.58%"
"Rush","Indiana","171,617","58.95%","79.6%"
"Highland","Ohio","171,534","58.98%","79.63%"
"Mower","Minnesota","171,359","59.01%","79.65%"
"Butler","Iowa","171,326","59.04%","79.67%"
"Greene","Arkansas","171,325","59.07%","79.7%"
"Panola","Mississippi","171,324","59.1%","79.72%"
"Carroll","Mississippi","171,311","59.13%","79.74%"
"Florence","Wisconsin","171,299","59.17%","79.77%"
"Fulton","Indiana","171,236","59.2%","79.79%"
"Menard","Texas","171,207","59.23%","79.81%"
"Erie","Pennsylvania","171,183","59.26%","79.84%"
"Clayton","Iowa","171,159","59.29%","79.86%"
"Shackelford","Texas","171,158","59.32%","79.88%"
"Stone","Mississippi","171,075","59.35%","79.9%"
"Marinette","Wisconsin","171,015","59.38%","79.93%"
"Hemphill","Texas","170,927","59.41%","79.95%"
"Golden Valley","North Dakota","170,851","59.44%","79.97%"
"Fulton","Arkansas","170,848","59.47%","80%"
"Wyoming","New York","170,716","59.51%","80.02%"
"Huntingdon","Pennsylvania","170,410","59.54%","80.04%"
"Cass","Texas","170,386","59.57%","80.07%"
"Pike","Missouri","170,301","59.6%","80.09%"
"Sutton","Texas","170,154","59.63%","80.11%"
"Kearny","Kansas","170,062","59.66%","80.13%"
"Montgomery","New York","170,050","59.69%","80.16%"
"Monroe","Missouri","169,837","59.72%","80.18%"
"Grady","Georgia","169,815","59.75%","80.2%"
"Briscoe","Texas","169,710","59.78%","80.23%"
"Talladega","Alabama","169,694","59.81%","80.25%"
"Lincoln","Mississippi","169,674","59.85%","80.27%"
"Muskingum","Ohio","169,647","59.88%","80.3%"
"Scott","Indiana","169,645","59.91%","80.32%"
"Barnes","North Dakota","169,307","59.94%","80.34%"
"Texas","Missouri","169,217","59.97%","80.36%"
"Moore","Texas","169,148","60%","80.39%"
"Osceola","Michigan","169,121","60.03%","80.41%"
"Bon Homme","South Dakota","168,829","60.06%","80.43%"
"Vanderburgh","Indiana","168,774","60.09%","80.45%"
"Huntington","Indiana","168,766","60.12%","80.48%"
"Cheyenne","Colorado","168,757","60.15%","80.5%"
"Charlton","Georgia","168,648","60.19%","80.52%"
"Buena Vista","Iowa","168,616","60.22%","80.55%"
"Blaine","Montana","168,566","60.25%","80.57%"
"Jackson","West Virginia","168,549","60.28%","80.59%"
"Giles","Virginia","168,528","60.31%","80.61%"
"Greenbrier","West Virginia","168,435","60.34%","80.64%"
"Greene","North Carolina","168,256","60.37%","80.66%"
"Pecos","Texas","168,202","60.4%","80.68%"
"Pontotoc","Oklahoma","168,196","60.43%","80.7%"
"Dixon","Nebraska","168,181","60.46%","80.73%"
"Parke","Indiana","168,150","60.49%","80.75%"
"Crawford","Georgia","168,110","60.53%","80.77%"
"Terrebonne Parish","Louisiana","168,107","60.56%","80.8%"
"Henderson","Kentucky","168,099","60.59%","80.82%"
"Jersey","Illinois","168,005","60.62%","80.84%"
"Jackson","Florida","167,991","60.65%","80.86%"
"Antelope","Nebraska","167,957","60.68%","80.89%"
"Calhoun","Florida","167,881","60.71%","80.91%"
"Christian","Kentucky","167,827","60.74%","80.93%"
"Liberty","Florida","167,625","60.77%","80.95%"
"Laurel","Kentucky","167,625","60.8%","80.98%"
"Vance","North Carolina","167,530","60.83%","81%"
"Montgomery","Ohio","167,386","60.87%","81.02%"
"Sargent","North Dakota","167,316","60.9%","81.04%"
"Taylor","West Virginia","167,315","60.93%","81.07%"
"Concho","Texas","167,231","60.96%","81.09%"
"Curry","New Mexico","167,177","60.99%","81.11%"
"Gage","Nebraska","167,055","61.02%","81.13%"
"St. Francois","Missouri","166,987","61.05%","81.16%"
"De Soto Parish","Louisiana","166,852","61.08%","81.18%"
"Grundy","Tennessee","166,785","61.11%","81.2%"
"McIntosh","Oklahoma","166,754","61.14%","81.22%"
"Mecklenburg","Virginia","166,712","61.17%","81.25%"
"Ford","Kansas","166,706","61.21%","81.27%"
"Putnam","Missouri","166,637","61.24%","81.29%"
"Harrison","Kentucky","166,516","61.27%","81.31%"
"Valley","Nebraska","166,483","61.3%","81.34%"
"Henry","Ohio","166,352","61.33%","81.36%"
"Lake","Oregon","166,306","61.36%","81.38%"
"Forrest","Mississippi","166,285","61.39%","81.4%"
"McDuffie","Georgia","166,155","61.42%","81.43%"
"Clarke","Iowa","166,141","61.45%","81.45%"
"Grayson","Virginia","166,129","61.48%","81.47%"
"Cortland","New York","166,021","61.51%","81.49%"
"Jefferson","Iowa","166,012","61.55%","81.52%"
"Sequoyah","Oklahoma","165,813","61.58%","81.54%"
"Nance","Nebraska","165,799","61.61%","81.56%"
"Ouachita Parish","Louisiana","165,784","61.64%","81.58%"
"Saline","Missouri","165,520","61.67%","81.61%"
"St. Martin Parish","Louisiana","165,304","61.7%","81.63%"
"Wayne","North Carolina","165,017","61.73%","81.65%"
"Laurens","Georgia","164,835","61.76%","81.67%"
"Henry","Alabama","164,691","61.79%","81.69%"
"Greene","Indiana","164,539","61.82%","81.72%"
"Madison","Illinois","164,250","61.85%","81.74%"
"Lewis","New York","164,227","61.89%","81.76%"
"Jackson","Kentucky","164,096","61.92%","81.78%"
"Howard","Iowa","164,074","61.95%","81.8%"
"Pottawatomie","Oklahoma","164,063","61.98%","81.83%"
"Keweenaw","Michigan","164,044","62.01%","81.85%"
"Howard","Texas","164,043","62.04%","81.87%"
"Carter","Oklahoma","164,005","62.07%","81.89%"
"Mahaska","Iowa","163,900","62.1%","81.92%"
"Charlotte","Virginia","163,801","62.13%","81.94%"
"Pittsylvania","Virginia","163,757","62.16%","81.96%"
"Vermilion Parish","Louisiana","163,701","62.19%","81.98%"
"Greeley","Nebraska","163,570","62.23%","82%"
"Lincoln","Minnesota","163,426","62.26%","82.03%"
"Russell","Alabama","163,239","62.29%","82.05%"
"Sherman","Texas","163,064","62.32%","82.07%"
"Big Stone","Minnesota","162,998","62.35%","82.09%"
"Dickey","North Dakota","162,943","62.38%","82.11%"
"Alpena","Michigan","162,921","62.41%","82.14%"
"Miller","Arkansas","162,751","62.44%","82.16%"
"Dawes","Nebraska","162,703","62.47%","82.18%"
"Johnson","Arkansas","162,655","62.5%","82.2%"
"Tioga","New York","162,621","62.53%","82.22%"
"Duplin","North Carolina","162,520","62.57%","82.25%"
"Freeborn","Minnesota","162,518","62.6%","82.27%"
"Henry","Iowa","162,453","62.63%","82.29%"
"Lincoln","Kentucky","162,301","62.66%","82.31%"
"Pipestone","Minnesota","162,272","62.69%","82.33%"
"Valley","Montana","162,167","62.72%","82.35%"
"Dent","Missouri","162,134","62.75%","82.38%"
"Burke","North Dakota","161,937","62.78%","82.4%"
"Roscommon","Michigan","161,905","62.81%","82.42%"
"Hardin","Ohio","161,897","62.84%","82.44%"
"Young","Texas","161,885","62.87%","82.46%"
"Wyandot","Ohio","161,768","62.91%","82.49%"
"Genesee","Michigan","161,737","62.94%","82.51%"
"Montgomery","Arkansas","161,725","62.97%","82.53%"
"Herkimer","New York","161,638","63%","82.55%"
"St. Louis city","Missouri","161,601","63.03%","82.57%"
"Edmonson","Kentucky","161,538","63.06%","82.59%"
"Owen","Kentucky","161,443","63.09%","82.62%"
"Hart","Kentucky","161,367","63.12%","82.64%"
"Hancock","Iowa","161,360","63.15%","82.66%"
"Dundy","Nebraska","161,332","63.18%","82.68%"
"Adair","Missouri","161,327","63.21%","82.7%"
"Worth","Iowa","161,166","63.25%","82.72%"
"Fountain","Indiana","161,158","63.28%","82.75%"
"Lucas","Iowa","161,148","63.31%","82.77%"
"Sangamon","Illinois","161,113","63.34%","82.79%"
"Athens","Ohio","161,005","63.37%","82.81%"
"Sussex","Virginia","160,992","63.4%","82.83%"
"Black Hawk","Iowa","160,869","63.43%","82.86%"
"Sierra","New Mexico","160,867","63.46%","82.88%"
"Clark","Ohio","160,852","63.49%","82.9%"
"Pike","Arkansas","160,848","63.52%","82.92%"
"Limestone","Texas","160,839","63.55%","82.94%"
"Lipscomb","Texas","160,807","63.59%","82.96%"
"Otero","Colorado","160,723","63.62%","82.99%"
"Hickman","Tennessee","160,712","63.65%","83.01%"
"Sheridan","Montana","160,634","63.68%","83.03%"
"Johnson","Nebraska","160,557","63.71%","83.05%"
"Red Willow","Nebraska","160,455","63.74%","83.07%"
"Assumption Parish","Louisiana","160,434","63.77%","83.09%"
"Tishomingo","Mississippi","160,424","63.8%","83.12%"
"Lincoln","Oklahoma","160,420","63.83%","83.14%"
"Redwood","Minnesota","160,382","63.86%","83.16%"
"Tyrrell","North Carolina","160,341","63.89%","83.18%"
"Frontier","Nebraska","160,323","63.93%","83.2%"
"Roger Mills","Oklahoma","160,290","63.96%","83.22%"
"Martin","Indiana","160,253","63.99%","83.24%"
"Pike","Alabama","160,231","64.02%","83.27%"
"Scotts Bluff","Nebraska","160,179","64.05%","83.29%"
"Coffey","Kansas","160,106","64.08%","83.31%"
"Macon","Missouri","160,080","64.11%","83.33%"
"Pulaski","Kentucky","160,060","64.14%","83.35%"
"Saline","Kansas","160,056","64.17%","83.37%"
"Tuscola","Michigan","159,971","64.2%","83.4%"
"Gratiot","Michigan","159,727","64.23%","83.42%"
"Pierce","Georgia","159,687","64.27%","83.44%"
"Swift","Minnesota","159,612","64.3%","83.46%"
"Calhoun","Illinois","159,460","64.33%","83.48%"
"Hancock","Kentucky","159,452","64.36%","83.5%"
"Searcy","Arkansas","159,452","64.39%","83.52%"
"Sedgwick","Colorado","159,358","64.42%","83.55%"
"Huron","Michigan","159,269","64.45%","83.57%"
"Kittson","Minnesota","159,207","64.48%","83.59%"
"St. Clair","Illinois","159,135","64.51%","83.61%"
"Etowah","Alabama","159,090","64.54%","83.63%"
"Tattnall","Georgia","158,961","64.57%","83.65%"
"Wells","North Dakota","158,870","64.61%","83.68%"
"Bristol city","Virginia","158,861","64.64%","83.7%"
"Thomas","Kansas","158,845","64.67%","83.72%"
"Dade","Missouri","158,844","64.7%","83.74%"
"Bracken","Kentucky","158,794","64.73%","83.76%"
"Chesterfield","South Carolina","158,718","64.76%","83.78%"
"Sherman","Nebraska","158,670","64.79%","83.8%"
"Polk","Arkansas","158,629","64.82%","83.82%"
"Adair","Iowa","158,626","64.85%","83.85%"
"Washington","Oklahoma","158,600","64.88%","83.87%"
"Franklin","New York","158,577","64.91%","83.89%"
"Grant","West Virginia","158,544","64.95%","83.91%"
"Allen","Ohio","158,499","64.98%","83.93%"
"Texas","Oklahoma","158,475","65.01%","83.95%"
"Candler","Georgia","158,444","65.04%","83.97%"
"Huron","Ohio","158,440","65.07%","84%"
"Thurston","Nebraska","158,412","65.1%","84.02%"
"Benton","Tennessee","158,332","65.13%","84.04%"
"Carson","Texas","158,296","65.16%","84.06%"
"Fremont","Iowa","158,280","65.19%","84.08%"
"Toole","Montana","158,226","65.22%","84.1%"
"Chester","Tennessee","158,078","65.26%","84.12%"
"Jefferson","Texas","157,864","65.29%","84.15%"
"Beaver","Pennsylvania","157,850","65.32%","84.17%"
"Blair","Pennsylvania","157,829","65.35%","84.19%"
"Schuyler","Missouri","157,666","65.38%","84.21%"
