"county","state","mean_income","cum_county","cum_mean_income"
"Love","Oklahoma","82,902","49.06%","58.7%"
"Banks","Georgia","82,882","49.09%","58.73%"
"Cass","Iowa","82,873","49.12%","58.76%"
"Twiggs","Georgia","82,871","49.15%","58.79%"
"Pickens","South Carolina","82,867","49.18%","58.82%"
"Washington","Colorado","82,841","49.21%","58.85%"
"Garfield","Nebraska","82,834","49.24%","58.88%"
"Franklin","Florida","82,821","49.27%","58.91%"
"Grant","Wisconsin","82,821","49.3%","58.94%"
"Redwood","Minnesota","82,811","49.34%","58.97%"
"Genesee","Michigan","82,790","49.37%","59%"
"Saline","Illinois","82,789","49.4%","59.03%"
"Coos","New Hampshire","82,759","49.43%","59.06%"
"Pasquotank","North Carolina","82,744","49.46%","59.09%"
"Warren","Illinois","82,733","49.49%","59.12%"
"Dallam","Texas","82,731","49.52%","59.15%"
"Johnson","Missouri","82,729","49.55%","59.18%"
"Jackson","West Virginia","82,704","49.58%","59.21%"
"Brown","Nebraska","82,657","49.61%","59.24%"
"Craighead","Arkansas","82,653","49.64%","59.27%"
"Schuyler","Illinois","82,651","49.68%","59.3%"
"Perry","Missouri","82,644","49.71%","59.33%"
"Orange","Indiana","82,606","49.74%","59.36%"
"Clearwater","Minnesota","82,595","49.77%","59.39%"
"Murray","Georgia","82,563","49.8%","59.42%"
"Greene","Pennsylvania","82,555","49.83%","59.45%"
"Burnett","Wisconsin","82,526","49.86%","59.48%"
"Van Buren","Michigan","82,494","49.89%","59.51%"
"Huntington","Indiana","82,491","49.92%","59.54%"
"Luzerne","Pennsylvania","82,477","49.95%","59.57%"
"Riley","Kansas","82,458","49.98%","59.6%"
"Monroe","Iowa","82,429","50.02%","59.63%"
"Rowan","North Carolina","82,423","50.05%","59.66%"
"St. John the Baptist Parish","Louisiana","82,408","50.08%","59.69%"
"Erie","Pennsylvania","82,408","50.11%","59.72%"
"Adams","Washington","82,379","50.14%","59.75%"
"Pine","Minnesota","82,355","50.17%","59.78%"
"Wabash","Illinois","82,337","50.2%","59.81%"
"Grays Harbor","Washington","82,333","50.23%","59.84%"
"Bear Lake","Idaho","82,325","50.26%","59.87%"
"Harrison","Kentucky","82,276","50.29%","59.9%"
"Pueblo","Colorado","82,275","50.32%","59.93%"
"Linn","Kansas","82,270","50.36%","59.96%"
"Alamance","North Carolina","82,268","50.39%","59.99%"
"Alexander","North Carolina","82,266","50.42%","60.02%"
"Montezuma","Colorado","82,262","50.45%","60.05%"
"Waushara","Wisconsin","82,262","50.48%","60.08%"
"Vanderburgh","Indiana","82,253","50.51%","60.1%"
"Gage","Nebraska","82,250","50.54%","60.13%"
"Fremont","Colorado","82,233","50.57%","60.16%"
"Wabash","Indiana","82,223","50.6%","60.19%"
"Armstrong","Pennsylvania","82,218","50.63%","60.22%"
"Jackson","Wisconsin","82,194","50.66%","60.25%"
"Delta","Colorado","82,168","50.7%","60.28%"
"Fremont","Wyoming","82,157","50.73%","60.31%"
"Platte","Wyoming","82,117","50.76%","60.34%"
"Davison","South Dakota","82,114","50.79%","60.37%"
"Washington","Ohio","82,107","50.82%","60.4%"
"Marshall","Alabama","82,099","50.85%","60.43%"
"Madison","Kentucky","82,086","50.88%","60.46%"
"Gove","Kansas","82,068","50.91%","60.49%"
"Shiawassee","Michigan","82,060","50.94%","60.52%"
"Bradley","Tennessee","82,060","50.97%","60.55%"
"Dorchester","Maryland","82,059","51%","60.58%"
"Sandusky","Ohio","82,018","51.04%","60.61%"
"Ramsey","North Dakota","82,009","51.07%","60.64%"
"Floyd","Virginia","81,982","51.1%","60.67%"
"Boyle","Kentucky","81,976","51.13%","60.7%"
"Warren","Mississippi","81,976","51.16%","60.73%"
"Callahan","Texas","81,976","51.19%","60.76%"
"Ohio","Indiana","81,948","51.22%","60.79%"
"Alfalfa","Oklahoma","81,930","51.25%","60.82%"
"Muskegon","Michigan","81,923","51.28%","60.85%"
"Huntingdon","Pennsylvania","81,916","51.31%","60.88%"
"Yadkin","North Carolina","81,915","51.34%","60.91%"
"Saginaw","Michigan","81,912","51.38%","60.94%"
"Pamlico","North Carolina","81,899","51.41%","60.97%"
"Osage","Oklahoma","81,883","51.44%","61%"
"Gratiot","Michigan","81,865","51.47%","61.03%"
"Grant","Nebraska","81,805","51.5%","61.06%"
"Custer","Oklahoma","81,803","51.53%","61.09%"
"Linn","Missouri","81,761","51.56%","61.12%"
"Osage","Kansas","81,759","51.59%","61.15%"
"Saguache","Colorado","81,741","51.62%","61.18%"
"Fulton","Indiana","81,697","51.65%","61.21%"
"Greene","Illinois","81,696","51.68%","61.23%"
"Oneida","Idaho","81,664","51.72%","61.26%"
"Parke","Indiana","81,663","51.75%","61.29%"
"Goshen","Wyoming","81,657","51.78%","61.32%"
"Daviess","Missouri","81,647","51.81%","61.35%"
"Garfield","Utah","81,639","51.84%","61.38%"
"O'Brien","Iowa","81,625","51.87%","61.41%"
"Polk","Tennessee","81,605","51.9%","61.44%"
"Carroll","Ohio","81,586","51.93%","61.47%"
"Wayne","Pennsylvania","81,581","51.96%","61.5%"
"Charles Mix","South Dakota","81,581","51.99%","61.53%"
"Des Moines","Iowa","81,543","52.02%","61.56%"
"San Jacinto","Texas","81,516","52.06%","61.59%"
"Lincoln","Colorado","81,465","52.09%","61.62%"
"Clayton","Iowa","81,457","52.12%","61.65%"
"Taylor","Wisconsin","81,456","52.15%","61.68%"
"Ida","Iowa","81,453","52.18%","61.71%"
"Sullivan","Pennsylvania","81,442","52.21%","61.74%"
"Wrangell City and Borough","Alaska","81,433","52.24%","61.77%"
"Trimble","Kentucky","81,427","52.27%","61.8%"
"Kanawha","West Virginia","81,423","52.3%","61.83%"
"Bowie","Texas","81,415","52.33%","61.86%"
"Musselshell","Montana","81,413","52.36%","61.89%"
"Castro","Texas","81,404","52.4%","61.92%"
"Millard","Utah","81,384","52.43%","61.94%"
"Iroquois","Illinois","81,382","52.46%","61.97%"
"Randolph","Illinois","81,359","52.49%","62%"
"Cotton","Oklahoma","81,345","52.52%","62.03%"
"Gooding","Idaho","81,334","52.55%","62.06%"
"Towner","North Dakota","81,330","52.58%","62.09%"
"White","Indiana","81,327","52.61%","62.12%"
"LaSalle Parish","Louisiana","81,315","52.64%","62.15%"
"Payette","Idaho","81,314","52.67%","62.18%"
"Nance","Nebraska","81,309","52.7%","62.21%"
"Howard","Indiana","81,280","52.74%","62.24%"
"Coffee","Alabama","81,266","52.77%","62.27%"
"Amelia","Virginia","81,188","52.8%","62.3%"
"Madison","Texas","81,177","52.83%","62.33%"
"Burt","Nebraska","81,148","52.86%","62.36%"
"Delaware","New York","81,142","52.89%","62.39%"
"Manistee","Michigan","81,133","52.92%","62.42%"
"Lane","Kansas","81,118","52.95%","62.45%"
"Burke","Georgia","81,112","52.98%","62.47%"
"Harrison","West Virginia","81,096","53.01%","62.5%"
"Marshall","Kentucky","81,091","53.04%","62.53%"
"Lassen","California","81,066","53.08%","62.56%"
"Pulaski","Virginia","81,064","53.11%","62.59%"
"Eureka","Nevada","81,005","53.14%","62.62%"
"Rio Blanco","Colorado","80,991","53.17%","62.65%"
"Juniata","Pennsylvania","80,988","53.2%","62.68%"
"Monroe","Ohio","80,960","53.23%","62.71%"
"Pike","Indiana","80,952","53.26%","62.74%"
"Wapello","Iowa","80,944","53.29%","62.77%"
"Trinity","California","80,934","53.32%","62.8%"
"Wayne","Utah","80,918","53.35%","62.83%"
"Beaver","Oklahoma","80,880","53.38%","62.86%"
"Roberts","Texas","80,866","53.42%","62.89%"
"Campbell","Virginia","80,840","53.45%","62.92%"
"Davidson","North Carolina","80,838","53.48%","62.94%"
"Onslow","North Carolina","80,838","53.51%","62.97%"
"Gray","Texas","80,830","53.54%","63%"
"Staunton city","Virginia","80,760","53.57%","63.03%"
"Wexford","Michigan","80,750","53.6%","63.06%"
"Crane","Texas","80,750","53.63%","63.09%"
"Marion","West Virginia","80,748","53.66%","63.12%"
"McPherson","Nebraska","80,734","53.69%","63.15%"
"Holt","Missouri","80,729","53.72%","63.18%"
"Webb","Texas","80,723","53.76%","63.21%"
"Buchanan","Missouri","80,717","53.79%","63.24%"
"Thomas","Georgia","80,709","53.82%","63.27%"
"Montgomery","Alabama","80,704","53.85%","63.3%"
"Greenup","Kentucky","80,703","53.88%","63.33%"
"Thayer","Nebraska","80,688","53.91%","63.35%"
"Sullivan","Tennessee","80,669","53.94%","63.38%"
"Tippecanoe","Indiana","80,668","53.97%","63.41%"
"Teton","Montana","80,657","54%","63.44%"
"Montgomery","Illinois","80,654","54.03%","63.47%"
"Stark","Illinois","80,641","54.06%","63.5%"
"Saline","Kansas","80,637","54.1%","63.53%"
"Troup","Georgia","80,636","54.13%","63.56%"
"Pocahontas","Iowa","80,616","54.16%","63.59%"
"Buffalo","Wisconsin","80,608","54.19%","63.62%"
"Gonzales","Texas","80,607","54.22%","63.65%"
"Stanly","North Carolina","80,577","54.25%","63.68%"
"Wayne","Nebraska","80,553","54.28%","63.71%"
"Hernando","Florida","80,550","54.31%","63.73%"
"Washington","Alabama","80,526","54.34%","63.76%"
"Merrick","Nebraska","80,526","54.37%","63.79%"
"Blair","Pennsylvania","80,522","54.4%","63.82%"
"Marshall","West Virginia","80,519","54.44%","63.85%"
"Nash","North Carolina","80,514","54.47%","63.88%"
"Powell","Montana","80,486","54.5%","63.91%"
"Franklin","Tennessee","80,473","54.53%","63.94%"
"Pitt","North Carolina","80,463","54.56%","63.97%"
"Greene","Missouri","80,453","54.59%","64%"
"Fulton","New York","80,448","54.62%","64.03%"
"Washakie","Wyoming","80,444","54.65%","64.06%"
"Marquette","Michigan","80,432","54.68%","64.09%"
"Calhoun","Michigan","80,429","54.71%","64.11%"
"Jones","South Dakota","80,421","54.74%","64.14%"
"Madison","North Carolina","80,418","54.78%","64.17%"
"DeKalb","Missouri","80,382","54.81%","64.2%"
"Blaine","Oklahoma","80,381","54.84%","64.23%"
"Creek","Oklahoma","80,376","54.87%","64.26%"
"Shackelford","Texas","80,358","54.9%","64.29%"
"Noble","Ohio","80,344","54.93%","64.32%"
"Liberty","Montana","80,330","54.96%","64.35%"
"Knox","Indiana","80,327","54.99%","64.38%"
"Hoke","North Carolina","80,326","55.02%","64.41%"
"Barry","Missouri","80,282","55.05%","64.43%"
"Adams","Indiana","80,264","55.09%","64.46%"
"Allen","Ohio","80,262","55.12%","64.49%"
"Granite","Montana","80,224","55.15%","64.52%"
"Crawford","Wisconsin","80,220","55.18%","64.55%"
"Richland","Wisconsin","80,217","55.21%","64.58%"
"Harrisonburg city","Virginia","80,210","55.24%","64.61%"
"Cherry","Nebraska","80,202","55.27%","64.64%"
"Greenwood","Kansas","80,201","55.3%","64.67%"
"Keokuk","Iowa","80,199","55.33%","64.7%"
"Franklin","Maine","80,168","55.36%","64.73%"
"Mason","Michigan","80,155","55.39%","64.75%"
"Grant","Kentucky","80,154","55.43%","64.78%"
"Hill","Texas","80,154","55.46%","64.81%"
"Prince of Wales-Hyder Census Area","Alaska","80,149","55.49%","64.84%"
"Livingston","Missouri","80,131","55.52%","64.87%"
"Marinette","Wisconsin","80,117","55.55%","64.9%"
"Elk","Pennsylvania","80,111","55.58%","64.93%"
"Muscogee","Georgia","80,102","55.61%","64.96%"
"Lyman","South Dakota","80,098","55.64%","64.99%"
"Graham","Arizona","80,094","55.67%","65.02%"
"Tangipahoa Parish","Louisiana","80,091","55.7%","65.05%"
"Dundy","Nebraska","80,081","55.73%","65.07%"
"Fisher","Texas","80,053","55.77%","65.1%"
"Houston","Alabama","80,048","55.8%","65.13%"
"Bath","Kentucky","80,031","55.83%","65.16%"
"Martin","Indiana","80,001","55.86%","65.19%"
"Sawyer","Wisconsin","79,980","55.89%","65.22%"
"Madison","Indiana","79,953","55.92%","65.25%"
"Washburn","Wisconsin","79,948","55.95%","65.28%"
"Roberts","South Dakota","79,910","55.98%","65.31%"
"Robertson","Texas","79,904","56.01%","65.34%"
"Baker","Oregon","79,903","56.04%","65.36%"
"Jefferson","Indiana","79,892","56.07%","65.39%"
"Ashland","Ohio","79,889","56.11%","65.42%"
"Carter","Oklahoma","79,874","56.14%","65.45%"
"Lawrence","Pennsylvania","79,865","56.17%","65.48%"
"Mitchell","Kansas","79,841","56.2%","65.51%"
"Phillips","Montana","79,818","56.23%","65.54%"
"Huron","Ohio","79,750","56.26%","65.57%"
"Marquette","Wisconsin","79,741","56.29%","65.6%"
"Morgan","Tennessee","79,735","56.32%","65.63%"
"Rapides Parish","Louisiana","79,662","56.35%","65.65%"
"Douglas","Oregon","79,661","56.38%","65.68%"
"Hamilton","Kansas","79,656","56.41%","65.71%"
"Beadle","South Dakota","79,653","56.45%","65.74%"
"White Pine","Nevada","79,648","56.48%","65.77%"
"Bailey","Texas","79,645","56.51%","65.8%"
"Todd","Kentucky","79,635","56.54%","65.83%"
"Lee","North Carolina","79,634","56.57%","65.86%"
"Ralls","Missouri","79,625","56.6%","65.89%"
"Lewis","New York","79,621","56.63%","65.91%"
"Seneca","Ohio","79,613","56.66%","65.94%"
"Cheboygan","Michigan","79,606","56.69%","65.97%"
"Madison","Missouri","79,585","56.72%","66%"
"Oceana","Michigan","79,555","56.75%","66.03%"
"Franklin city","Virginia","79,553","56.79%","66.06%"
"Jennings","Indiana","79,540","56.82%","66.09%"
"Bracken","Kentucky","79,534","56.85%","66.12%"
"Van Wert","Ohio","79,526","56.88%","66.14%"
"Moore","Texas","79,523","56.91%","66.17%"
"Fulton","Illinois","79,511","56.94%","66.2%"
"Pontotoc","Oklahoma","79,510","56.97%","66.23%"
"Delta","Texas","79,499","57%","66.26%"
"Comanche","Texas","79,496","57.03%","66.29%"
"Crosby","Texas","79,476","57.06%","66.32%"
"Sutton","Texas","79,457","57.09%","66.35%"
"Washington","Kansas","79,440","57.13%","66.38%"
"Crockett","Tennessee","79,436","57.16%","66.4%"
"Clay","Illinois","79,425","57.19%","66.43%"
"Lee","Texas","79,410","57.22%","66.46%"
"Navarro","Texas","79,388","57.25%","66.49%"
"Bourbon","Kentucky","79,370","57.28%","66.52%"
"Chouteau","Montana","79,363","57.31%","66.55%"
"Lynchburg city","Virginia","79,359","57.34%","66.58%"
"Knox","Nebraska","79,345","57.37%","66.61%"
"Grant","North Dakota","79,345","57.4%","66.63%"
"Todd","Minnesota","79,344","57.43%","66.66%"
"Dickinson","Michigan","79,343","57.47%","66.69%"
"Columbia","Pennsylvania","79,343","57.5%","66.72%"
"Haywood","North Carolina","79,327","57.53%","66.75%"
"McKean","Pennsylvania","79,327","57.56%","66.78%"
"Klamath","Oregon","79,314","57.59%","66.81%"
"Petroleum","Montana","79,305","57.62%","66.84%"
"Cooper","Missouri","79,256","57.65%","66.86%"
"Richmond","Virginia","79,207","57.68%","66.89%"
"Blount","Alabama","79,203","57.71%","66.92%"
"Hayes","Nebraska","79,177","57.74%","66.95%"
"Bulloch","Georgia","79,142","57.77%","66.98%"
"Cherokee","Texas","79,137","57.81%","67.01%"
"Owen","Indiana","79,136","57.84%","67.04%"
"Shelby","Illinois","79,115","57.87%","67.07%"
"Schley","Georgia","79,111","57.9%","67.09%"
"Montgomery","New York","79,106","57.93%","67.12%"
"Camas","Idaho","79,094","57.96%","67.15%"
"Carroll","Missouri","79,090","57.99%","67.18%"
"Childress","Texas","79,090","58.02%","67.21%"
"Freestone","Texas","79,090","58.05%","67.24%"
"Clearfield","Pennsylvania","79,059","58.08%","67.27%"
"Mobile","Alabama","79,051","58.11%","67.3%"
"Newberry","South Carolina","79,019","58.15%","67.32%"
"Carroll","Illinois","79,017","58.18%","67.35%"
"Hancock","Kentucky","78,998","58.21%","67.38%"
"Watauga","North Carolina","78,984","58.24%","67.41%"
"Antelope","Nebraska","78,983","58.27%","67.44%"
"Yancey","North Carolina","78,969","58.3%","67.47%"
"Bedford","Tennessee","78,968","58.33%","67.5%"
"Coos","Oregon","78,959","58.36%","67.52%"
"Whitman","Washington","78,956","58.39%","67.55%"
"Franklin","New York","78,937","58.42%","67.58%"
"Barber","Kansas","78,910","58.45%","67.61%"
"St. Joseph","Michigan","78,907","58.49%","67.64%"
"Grant","Oklahoma","78,906","58.52%","67.67%"
"Citrus","Florida","78,901","58.55%","67.7%"
"Moniteau","Missouri","78,901","58.58%","67.72%"
"St. Lawrence","New York","78,890","58.61%","67.75%"
"Greene","Iowa","78,888","58.64%","67.78%"
"Caribou","Idaho","78,848","58.67%","67.81%"
"Florence","South Carolina","78,842","58.7%","67.84%"
"Cass","Illinois","78,834","58.73%","67.87%"
"Rooks","Kansas","78,805","58.76%","67.9%"
"Runnels","Texas","78,798","58.79%","67.92%"
"Henry","Alabama","78,795","58.83%","67.95%"
"Mercer","Kentucky","78,790","58.86%","67.98%"
"Rice","Kansas","78,776","58.89%","68.01%"
"Florence","Wisconsin","78,755","58.92%","68.04%"
"Mason","Kentucky","78,747","58.95%","68.07%"
"Stone","Missouri","78,728","58.98%","68.1%"
"Perry","Ohio","78,715","59.01%","68.12%"
"Hillsdale","Michigan","78,710","59.04%","68.15%"
"Iberville Parish","Louisiana","78,701","59.07%","68.18%"
"Mason","Illinois","78,688","59.1%","68.21%"
"Missaukee","Michigan","78,686","59.13%","68.24%"
"Lauderdale","Alabama","78,675","59.17%","68.27%"
"Humphreys","Tennessee","78,658","59.2%","68.3%"
"Seward","Kansas","78,653","59.23%","68.32%"
"Clay","Kansas","78,647","59.26%","68.35%"
"Hancock","West Virginia","78,641","59.29%","68.38%"
"Branch","Michigan","78,604","59.32%","68.41%"
"Pendleton","Kentucky","78,596","59.35%","68.44%"
"Jefferson","Iowa","78,591","59.38%","68.47%"
"Scott","Missouri","78,589","59.41%","68.5%"
"Clarion","Pennsylvania","78,579","59.44%","68.52%"
"Morgan","West Virginia","78,578","59.47%","68.55%"
"Smith","Kansas","78,567","59.51%","68.58%"
"Madison","Tennessee","78,567","59.54%","68.61%"
"Sumner","Kansas","78,544","59.57%","68.64%"
"Morrill","Nebraska","78,536","59.6%","68.67%"
"Lincoln","Nebraska","78,527","59.63%","68.7%"
"Tuscarawas","Ohio","78,457","59.66%","68.72%"
"Oxford","Maine","78,431","59.69%","68.75%"
"Box Butte","Nebraska","78,395","59.72%","68.78%"
"Jackson","Oklahoma","78,383","59.75%","68.81%"
"Clinton","Indiana","78,375","59.78%","68.84%"
"Rowan","Kentucky","78,365","59.81%","68.87%"
"Marion","Ohio","78,335","59.85%","68.89%"
"Lawrence","Illinois","78,332","59.88%","68.92%"
"Henry","Kentucky","78,321","59.91%","68.95%"
"Mercer","Pennsylvania","78,316","59.94%","68.98%"
"Switzerland","Indiana","78,313","59.97%","69.01%"
"Scotts Bluff","Nebraska","78,307","60%","69.04%"
"Tioga","Pennsylvania","78,295","60.03%","69.06%"
"Thurston","Nebraska","78,288","60.06%","69.09%"
"Lamar","Texas","78,269","60.09%","69.12%"
"Leon","Texas","78,251","60.12%","69.15%"
"Wallace","Kansas","78,237","60.15%","69.18%"
"Henry","Indiana","78,234","60.19%","69.21%"
"Appomattox","Virginia","78,227","60.22%","69.23%"
"Taney","Missouri","78,210","60.25%","69.26%"
"Juneau","Wisconsin","78,183","60.28%","69.29%"
"Allegany","New York","78,176","60.31%","69.32%"
"Pulaski","Missouri","78,175","60.34%","69.35%"
"Jasper","South Carolina","78,167","60.37%","69.38%"
"Blaine","Montana","78,155","60.4%","69.41%"
"Garrard","Kentucky","78,139","60.43%","69.43%"
"Ross","Ohio","78,138","60.46%","69.46%"
"Lawrence","Indiana","78,119","60.49%","69.49%"
"St. Louis city","Missouri","78,097","60.53%","69.52%"
"Pettis","Missouri","78,089","60.56%","69.55%"
"Stephenson","Illinois","78,072","60.59%","69.58%"
"Pierce","Georgia","78,059","60.62%","69.6%"
"Atchison","Kansas","78,019","60.65%","69.63%"
"Pope","Illinois","78,018","60.68%","69.66%"
"Kingman","Kansas","78,018","60.71%","69.69%"
"Chenango","New York","78,012","60.74%","69.72%"
"Valencia","New Mexico","78,008","60.77%","69.74%"
"Cullman","Alabama","78,002","60.8%","69.77%"
"Irion","Texas","78,001","60.83%","69.8%"
"Bay","Michigan","77,994","60.87%","69.83%"
"Silver Bow","Montana","77,994","60.9%","69.86%"
"Gallatin","Kentucky","77,983","60.93%","69.89%"
"Johnson","Illinois","77,971","60.96%","69.91%"
"Harrison","Mississippi","77,949","60.99%","69.94%"
"Pike","Ohio","77,942","61.02%","69.97%"
"Copiah","Mississippi","77,936","61.05%","70%"
"Cambria","Pennsylvania","77,930","61.08%","70.03%"
"Guaynabo Municipio","Puerto Rico","77,901","61.11%","70.06%"
"Mineral","Colorado","77,895","61.14%","70.08%"
"Emmet","Iowa","77,881","61.17%","70.11%"
"Washington","Kentucky","77,873","61.21%","70.14%"
"Brown","Texas","77,845","61.24%","70.17%"
"Henry","Iowa","77,833","61.27%","70.2%"
"Jackson","Colorado","77,824","61.3%","70.23%"
"Cottle","Texas","77,808","61.33%","70.25%"
"Okanogan","Washington","77,804","61.36%","70.28%"
"El Paso","Texas","77,793","61.39%","70.31%"
"Houghton","Michigan","77,744","61.42%","70.34%"
"Tyler","West Virginia","77,720","61.45%","70.37%"
"Clark","Ohio","77,705","61.48%","70.39%"
"Marion","Missouri","77,702","61.51%","70.42%"
"Dooly","Georgia","77,693","61.55%","70.45%"
"Simpson","Mississippi","77,692","61.58%","70.48%"
"Montague","Texas","77,671","61.61%","70.51%"
"Crawford","Missouri","77,661","61.64%","70.54%"
"Gilliam","Oregon","77,640","61.67%","70.56%"
"Boyd","Nebraska","77,634","61.7%","70.59%"
"Coles","Illinois","77,632","61.73%","70.62%"
"Yuma","Arizona","77,603","61.76%","70.65%"
"Gallia","Ohio","77,599","61.79%","70.68%"
"Caldwell","Missouri","77,596","61.82%","70.7%"
"Hickman","Kentucky","77,565","61.85%","70.73%"
"Larue","Kentucky","77,565","61.89%","70.76%"
"Sedgwick","Colorado","77,564","61.92%","70.79%"
"Jefferson","Illinois","77,553","61.95%","70.82%"
"Cochise","Arizona","77,541","61.98%","70.84%"
"Clay","North Carolina","77,507","62.01%","70.87%"
"St. Bernard Parish","Louisiana","77,494","62.04%","70.9%"
"Idaho","Idaho","77,479","62.07%","70.93%"
"Richardson","Nebraska","77,469","62.1%","70.96%"
"Wheeler","Texas","77,469","62.13%","70.99%"
"Indiana","Pennsylvania","77,466","62.16%","71.01%"
"Bibb","Georgia","77,463","62.19%","71.04%"
"Marion","Florida","77,453","62.23%","71.07%"
"Camp","Texas","77,431","62.26%","71.1%"
"Anderson","Texas","77,422","62.29%","71.13%"
"Toole","Montana","77,412","62.32%","71.15%"
"Fayette","Illinois","77,408","62.35%","71.18%"
"Muhlenberg","Kentucky","77,401","62.38%","71.21%"
"Beaufort","North Carolina","77,396","62.41%","71.24%"
"Lincoln","Oklahoma","77,396","62.44%","71.27%"
"Imperial","California","77,390","62.47%","71.29%"
"Pope","Arkansas","77,373","62.5%","71.32%"
"Daggett","Utah","77,359","62.53%","71.35%"
"Kay","Oklahoma","77,337","62.57%","71.38%"
"Jones","Texas","77,333","62.6%","71.41%"
"Muskingum","Ohio","77,324","62.63%","71.43%"
"Hocking","Ohio","77,310","62.66%","71.46%"
"Delta","Michigan","77,286","62.69%","71.49%"
"Independence","Arkansas","77,283","62.72%","71.52%"
"Portsmouth city","Virginia","77,280","62.75%","71.55%"
"Crawford","Pennsylvania","77,237","62.78%","71.57%"
"Big Horn","Wyoming","77,224","62.81%","71.6%"
"Caddo Parish","Louisiana","77,213","62.84%","71.63%"
"Wayne","North Carolina","77,193","62.87%","71.66%"
"Allen","Kentucky","77,190","62.91%","71.69%"
"Chippewa","Michigan","77,181","62.94%","71.71%"
"Bon Homme","South Dakota","77,164","62.97%","71.74%"
"Lucas","Iowa","77,148","63%","71.77%"
"Montgomery","North Carolina","77,130","63.03%","71.8%"
"Butts","Georgia","77,092","63.06%","71.83%"
"Hickman","Tennessee","77,088","63.09%","71.85%"
"Newaygo","Michigan","77,086","63.12%","71.88%"
"Washita","Oklahoma","77,077","63.15%","71.91%"
"Harmon","Oklahoma","77,060","63.18%","71.94%"
"Cowley","Kansas","77,057","63.21%","71.97%"
"Valley","Montana","77,051","63.25%","71.99%"
"Bourbon","Kansas","77,037","63.28%","72.02%"
"Hot Springs","Wyoming","77,018","63.31%","72.05%"
"Hockley","Texas","77,012","63.34%","72.08%"
"Wayne","Tennessee","76,998","63.37%","72.11%"
"Highland","Virginia","76,984","63.4%","72.13%"
"Chariton","Missouri","76,981","63.43%","72.16%"
"Greene","Indiana","76,976","63.46%","72.19%"
"Wayne","West Virginia","76,974","63.49%","72.22%"
"Dewey","Oklahoma","76,946","63.52%","72.25%"
"Cheyenne","Nebraska","76,923","63.55%","72.27%"
"Elmore","Idaho","76,919","63.59%","72.3%"
"Clarke","Georgia","76,893","63.62%","72.33%"
"Hart","Georgia","76,891","63.65%","72.36%"
"Newton","Indiana","76,850","63.68%","72.39%"
"Garfield","Washington","76,848","63.71%","72.41%"
"Perquimans","North Carolina","76,843","63.74%","72.44%"
"Collingsworth","Texas","76,830","63.77%","72.47%"
"Mahoning","Ohio","76,826","63.8%","72.5%"
"Grundy","Missouri","76,823","63.83%","72.52%"
"Clinton","Pennsylvania","76,816","63.86%","72.55%"
"Morris","Kansas","76,802","63.89%","72.58%"
"Comanche","Oklahoma","76,794","63.93%","72.61%"
"Jackson","North Carolina","76,781","63.96%","72.64%"
"Venango","Pennsylvania","76,779","63.99%","72.66%"
"Roanoke city","Virginia","76,775","64.02%","72.69%"
"Ouachita Parish","Louisiana","76,757","64.05%","72.72%"
"Hardee","Florida","76,755","64.08%","72.75%"
"Monona","Iowa","76,738","64.11%","72.78%"
"Bedford","Pennsylvania","76,732","64.14%","72.8%"
"Marion","Illinois","76,720","64.17%","72.83%"
"Giles","Virginia","76,719","64.2%","72.86%"
"Siskiyou","California","76,699","64.23%","72.89%"
"Brown","Kansas","76,674","64.27%","72.91%"
"Macon","North Carolina","76,654","64.3%","72.94%"
"Lawrence","Alabama","76,640","64.33%","72.97%"
"Ford","Illinois","76,631","64.36%","73%"
"Henderson","Kentucky","76,611","64.39%","73.03%"
"Reno","Kansas","76,600","64.42%","73.05%"
"Henry","Missouri","76,598","64.45%","73.08%"
"Bleckley","Georgia","76,532","64.48%","73.11%"
"Accomack","Virginia","76,527","64.51%","73.14%"
"Osborne","Kansas","76,525","64.54%","73.16%"
"Pottawatomie","Oklahoma","76,506","64.57%","73.19%"
"Chowan","North Carolina","76,492","64.61%","73.22%"
"Cumberland","North Carolina","76,492","64.64%","73.25%"
"Wayne","Indiana","76,475","64.67%","73.28%"
"Hardin","Iowa","76,468","64.7%","73.3%"
"Nye","Nevada","76,468","64.73%","73.33%"
"Ziebach","South Dakota","76,468","64.76%","73.36%"
"Clay","South Dakota","76,464","64.79%","73.39%"
"Langlade","Wisconsin","76,439","64.82%","73.41%"
"Eastland","Texas","76,423","64.85%","73.44%"
"McMinn","Tennessee","76,417","64.88%","73.47%"
"Fergus","Montana","76,413","64.91%","73.5%"
"Walker","Georgia","76,404","64.95%","73.52%"
"Union","Mississippi","76,400","64.98%","73.55%"
"Mason","West Virginia","76,383","65.01%","73.58%"
"Laurens","Georgia","76,337","65.04%","73.61%"
"Morton","Kansas","76,315","65.07%","73.64%"
"Van Buren","Iowa","76,307","65.1%","73.66%"
"Grant Parish","Louisiana","76,304","65.13%","73.69%"
"Franklin","Iowa","76,293","65.16%","73.72%"
"Essex","Vermont","76,292","65.19%","73.75%"
"Assumption Parish","Louisiana","76,288","65.22%","73.77%"
"Jackson","Ohio","76,287","65.26%","73.8%"
"Live Oak","Texas","76,267","65.29%","73.83%"
"Montcalm","Michigan","76,263","65.32%","73.86%"
"Kalkaska","Michigan","76,261","65.35%","73.88%"
"Lincoln","Idaho","76,232","65.38%","73.91%"
