"county","state","household_count","cum_county","cum_population"
"Mineral","West Virginia","10,698","48.53%","93.91%"
"Crook","Oregon","10,647","48.56%","93.92%"
"Routt","Colorado","10,619","48.59%","93.93%"
"Dillon","South Carolina","10,587","48.62%","93.94%"
"Cass","Nebraska","10,561","48.66%","93.95%"
"Geneva","Alabama","10,550","48.69%","93.95%"
"Hart","Georgia","10,543","48.72%","93.96%"
"Clay","Indiana","10,541","48.75%","93.97%"
"Utuado Municipio","Puerto Rico","10,541","48.78%","93.98%"
"Decatur","Indiana","10,518","48.81%","93.99%"
"Lares Municipio","Puerto Rico","10,517","48.84%","94%"
"Harlan","Kentucky","10,500","48.87%","94%"
"San Jacinto","Texas","10,480","48.9%","94.01%"
"Cherokee","Alabama","10,477","48.93%","94.02%"
"Decatur","Georgia","10,474","48.96%","94.03%"
"Russell","Virginia","10,470","49%","94.04%"
"Cleburne","Arkansas","10,458","49.03%","94.04%"
"Dinwiddie","Virginia","10,427","49.06%","94.05%"
"Monroe","Georgia","10,423","49.09%","94.06%"
"White","Georgia","10,422","49.12%","94.07%"
"Wasco","Oregon","10,411","49.15%","94.08%"
"West Baton Rouge Parish","Louisiana","10,400","49.18%","94.08%"
"Jo Daviess","Illinois","10,385","49.21%","94.09%"
"Randolph","West Virginia","10,385","49.24%","94.1%"
"Upson","Georgia","10,377","49.27%","94.11%"
"Carter","Kentucky","10,371","49.3%","94.12%"
"Waushara","Wisconsin","10,333","49.34%","94.12%"
"Manistee","Michigan","10,324","49.37%","94.13%"
"Plymouth","Iowa","10,297","49.4%","94.14%"
"De Soto Parish","Louisiana","10,293","49.43%","94.15%"
"Franklin","Kansas","10,289","49.46%","94.16%"
"Grimes","Texas","10,289","49.49%","94.16%"
"Neshoba","Mississippi","10,285","49.52%","94.17%"
"Peach","Georgia","10,284","49.55%","94.18%"
"Mason","West Virginia","10,281","49.58%","94.19%"
"Stephens","Georgia","10,276","49.61%","94.2%"
"Posey","Indiana","10,270","49.64%","94.2%"
"Fluvanna","Virginia","10,251","49.68%","94.21%"
"Oceana","Michigan","10,247","49.71%","94.22%"
"Adams","Ohio","10,230","49.74%","94.23%"
"Barton","Kansas","10,219","49.77%","94.24%"
"Llano","Texas","10,218","49.8%","94.24%"
"Randolph","Indiana","10,182","49.83%","94.25%"
"Salem city","Virginia","10,140","49.86%","94.26%"
"Putnam","Georgia","10,134","49.89%","94.27%"
"Toombs","Georgia","10,127","49.92%","94.28%"
"Benton","Iowa","10,111","49.95%","94.28%"
"Montgomery","North Carolina","10,075","49.98%","94.29%"
"Grady","Georgia","10,073","50.02%","94.3%"
"Todd","Minnesota","10,049","50.05%","94.31%"
"Milam","Texas","10,049","50.08%","94.31%"
"Johnson","Arkansas","10,047","50.11%","94.32%"
"Taylor","Kentucky","10,045","50.14%","94.33%"
"Malheur","Oregon","10,039","50.17%","94.34%"
"Miller","Missouri","10,034","50.2%","94.35%"
"Saline","Illinois","10,032","50.23%","94.35%"
"Salinas Municipio","Puerto Rico","10,030","50.26%","94.36%"
"Morovis Municipio","Puerto Rico","10,026","50.29%","94.37%"
"Goochland","Virginia","10,013","50.32%","94.38%"
"Menominee","Michigan","10,011","50.36%","94.39%"
"Lyon","Minnesota","10,003","50.39%","94.39%"
"Union","Mississippi","10,000","50.42%","94.4%"
"Garvin","Oklahoma","10,000","50.45%","94.41%"
"Leflore","Mississippi","9,973","50.48%","94.42%"
"Iowa","Wisconsin","9,951","50.51%","94.42%"
"Copiah","Mississippi","9,906","50.54%","94.43%"
"Jefferson","Idaho","9,899","50.57%","94.44%"
"King George","Virginia","9,877","50.6%","94.45%"
"White","Indiana","9,865","50.63%","94.45%"
"Fayette","Texas","9,855","50.66%","94.46%"
"Blaine","Idaho","9,822","50.7%","94.47%"
"McNairy","Tennessee","9,806","50.73%","94.48%"
"Yankton","South Dakota","9,792","50.76%","94.49%"
"Morehouse Parish","Louisiana","9,779","50.79%","94.49%"
"Jackson","Oklahoma","9,778","50.82%","94.5%"
"Klickitat","Washington","9,774","50.85%","94.51%"
"Grayson","Kentucky","9,772","50.88%","94.52%"
"Glenn","California","9,763","50.91%","94.52%"
"Marlboro","South Carolina","9,729","50.94%","94.53%"
"Churchill","Nevada","9,728","50.97%","94.54%"
"Bremer","Iowa","9,693","51%","94.55%"
"Lincoln","Kentucky","9,684","51.04%","94.55%"
"Scott","Mississippi","9,668","51.07%","94.56%"
"Elbert","Colorado","9,657","51.1%","94.57%"
"Scott","Indiana","9,637","51.13%","94.58%"
"Del Norte","California","9,621","51.16%","94.58%"
"Waynesboro city","Virginia","9,620","51.19%","94.59%"
"Nicholas","West Virginia","9,595","51.22%","94.6%"
"Upshur","West Virginia","9,588","51.25%","94.61%"
"Simpson","Mississippi","9,573","51.28%","94.61%"
"Grainger","Tennessee","9,566","51.31%","94.62%"
"Rockbridge","Virginia","9,552","51.34%","94.63%"
"Abbeville","South Carolina","9,536","51.38%","94.64%"
"Texas","Missouri","9,532","51.41%","94.64%"
"Bell","Kentucky","9,526","51.44%","94.65%"
"Barranquitas Municipio","Puerto Rico","9,521","51.47%","94.66%"
"Page","Virginia","9,509","51.5%","94.66%"
"Edgefield","South Carolina","9,508","51.53%","94.67%"
"Anderson","Kentucky","9,496","51.56%","94.68%"
"Payette","Idaho","9,481","51.59%","94.69%"
"Fayette","Indiana","9,479","51.62%","94.69%"
"Crawford","Missouri","9,468","51.65%","94.7%"
"Leelanau","Michigan","9,439","51.68%","94.71%"
"Asotin","Washington","9,438","51.72%","94.72%"
"Brooke","West Virginia","9,437","51.75%","94.72%"
"Hopewell city","Virginia","9,418","51.78%","94.73%"
"Aibonito Municipio","Puerto Rico","9,415","51.81%","94.74%"
"Teton","Wyoming","9,383","51.84%","94.75%"
"Lincoln","New Mexico","9,376","51.87%","94.75%"
"Prentiss","Mississippi","9,363","51.9%","94.76%"
"Martin","North Carolina","9,361","51.93%","94.77%"
"Adams","Wisconsin","9,351","51.96%","94.77%"
"Rowan","Kentucky","9,345","51.99%","94.78%"
"Winston","Alabama","9,328","52.02%","94.79%"
"Stutsman","North Dakota","9,295","52.06%","94.8%"
"Washington","Florida","9,282","52.09%","94.8%"
"Randolph","Missouri","9,252","52.12%","94.81%"
"Henry","Missouri","9,248","52.15%","94.82%"
"Grant","Kentucky","9,235","52.18%","94.83%"
"Itawamba","Mississippi","9,224","52.21%","94.83%"
"Lauderdale","Tennessee","9,214","52.24%","94.84%"
"Macon","Tennessee","9,200","52.27%","94.85%"
"Marion","Mississippi","9,199","52.3%","94.85%"
"Chaffee","Colorado","9,195","52.33%","94.86%"
"George","Mississippi","9,195","52.36%","94.87%"
"Hickman","Tennessee","9,180","52.4%","94.88%"
"Shelby","Texas","9,177","52.43%","94.88%"
"Gage","Nebraska","9,162","52.46%","94.89%"
"Fairfax city","Virginia","9,158","52.49%","94.9%"
"Ohio","Kentucky","9,155","52.52%","94.9%"
"Chattooga","Georgia","9,142","52.55%","94.91%"
"Meeker","Minnesota","9,141","52.58%","94.92%"
"Mercer","Kentucky","9,137","52.61%","94.93%"
"Franklin","Indiana","9,131","52.64%","94.93%"
"Wabasha","Minnesota","9,129","52.67%","94.94%"
"Randolph","Alabama","9,127","52.7%","94.95%"
"Ogemaw","Michigan","9,122","52.74%","94.95%"
"Caddo","Oklahoma","9,108","52.77%","94.96%"
"Bradford","Florida","9,104","52.8%","94.97%"
"Burke","Georgia","9,097","52.83%","94.97%"
"Yates","New York","9,095","52.86%","94.98%"
"Pottawatomie","Kansas","9,084","52.89%","94.99%"
"Luna","New Mexico","9,082","52.92%","95%"
"Barbour","Alabama","9,080","52.95%","95%"
"Osceola","Michigan","9,072","52.98%","95.01%"
"Wyandot","Ohio","9,064","53.01%","95.02%"
"Lassen","California","9,060","53.04%","95.02%"
"Hardeman","Tennessee","9,049","53.08%","95.03%"
"Washington","Iowa","9,048","53.11%","95.04%"
"Ray","Missouri","9,046","53.14%","95.05%"
"New Kent","Virginia","9,034","53.17%","95.05%"
"Poinsett","Arkansas","9,031","53.2%","95.06%"
"Pitkin","Colorado","9,031","53.23%","95.07%"
"Hood River","Oregon","9,021","53.26%","95.07%"
"Mingo","West Virginia","9,013","53.29%","95.08%"
"Baker","Florida","9,012","53.32%","95.09%"
"Cataño Municipio","Puerto Rico","8,998","53.35%","95.09%"
"Overton","Tennessee","8,992","53.38%","95.1%"
"Audrain","Missouri","8,991","53.42%","95.11%"
"Dawson","Nebraska","8,982","53.45%","95.12%"
"Sumner","Kansas","8,974","53.48%","95.12%"
"Scott","Virginia","8,951","53.51%","95.13%"
"Bandera","Texas","8,943","53.54%","95.14%"
"San Juan","Washington","8,934","53.57%","95.14%"
"Juniata","Pennsylvania","8,928","53.6%","95.15%"
"Adair","Missouri","8,911","53.63%","95.16%"
"Yazoo","Mississippi","8,892","53.66%","95.16%"
"Mahaska","Iowa","8,891","53.69%","95.17%"
"La Paz","Arizona","8,887","53.72%","95.18%"
"Hubbard","Minnesota","8,885","53.76%","95.18%"
"Meigs","Ohio","8,875","53.79%","95.19%"
"Naranjito Municipio","Puerto Rico","8,866","53.82%","95.2%"
"Washington","Missouri","8,864","53.85%","95.21%"
"Lincoln","Montana","8,858","53.88%","95.21%"
"Johnson","Kentucky","8,843","53.91%","95.22%"
"Martin","Minnesota","8,840","53.94%","95.23%"
"Añasco Municipio","Puerto Rico","8,835","53.97%","95.23%"
"Saunders","Nebraska","8,820","54%","95.24%"
"Aguas Buenas Municipio","Puerto Rico","8,804","54.03%","95.25%"
"Shelby","Illinois","8,795","54.06%","95.25%"
"Franklin","Georgia","8,774","54.1%","95.26%"
"Fairfield","South Carolina","8,773","54.13%","95.27%"
"Starke","Indiana","8,758","54.16%","95.27%"
"Butts","Georgia","8,751","54.19%","95.28%"
"Carroll","Iowa","8,750","54.22%","95.29%"
"Sanpete","Utah","8,748","54.25%","95.29%"
"Loíza Municipio","Puerto Rico","8,730","54.28%","95.3%"
"Polk","North Carolina","8,727","54.31%","95.31%"
"Davison","South Dakota","8,714","54.34%","95.31%"
"Seminole","Oklahoma","8,701","54.37%","95.32%"
"Caswell","North Carolina","8,677","54.4%","95.33%"
"Jefferson","Oregon","8,659","54.44%","95.33%"
"Dickinson","Iowa","8,650","54.47%","95.34%"
"Scott","Tennessee","8,638","54.5%","95.35%"
"Tishomingo","Mississippi","8,633","54.53%","95.35%"
"Fillmore","Minnesota","8,626","54.56%","95.36%"
"Langlade","Wisconsin","8,606","54.59%","95.37%"
"Owen","Indiana","8,598","54.62%","95.37%"
"Ouachita","Arkansas","8,590","54.65%","95.38%"
"Bee","Texas","8,581","54.68%","95.39%"
"Barceloneta Municipio","Puerto Rico","8,547","54.71%","95.39%"
"Grenada","Mississippi","8,535","54.74%","95.4%"
"Kent","Maryland","8,530","54.78%","95.41%"
"Sawyer","Wisconsin","8,522","54.81%","95.41%"
"McDonald","Missouri","8,512","54.84%","95.42%"
"DeKalb","Tennessee","8,495","54.87%","95.43%"
"Panola","Texas","8,486","54.9%","95.43%"
"Sabine Parish","Louisiana","8,485","54.93%","95.44%"
"Logan","Arkansas","8,484","54.96%","95.45%"
"Coahoma","Mississippi","8,463","54.99%","95.45%"
"Clarke","Alabama","8,452","55.02%","95.46%"
"Park","Colorado","8,447","55.05%","95.47%"
"Lee","Virginia","8,446","55.09%","95.47%"
"Uvalde","Texas","8,422","55.12%","95.48%"
"Assumption Parish","Louisiana","8,420","55.15%","95.49%"
"Madison","North Carolina","8,399","55.18%","95.49%"
"Calhoun","Texas","8,398","55.21%","95.5%"
"Washington","Nebraska","8,391","55.24%","95.51%"
"Nodaway","Missouri","8,389","55.27%","95.51%"
"Lavaca","Texas","8,370","55.3%","95.52%"
"Letcher","Kentucky","8,367","55.33%","95.53%"
"Columbia","Arkansas","8,361","55.36%","95.53%"
"Hampshire","West Virginia","8,354","55.39%","95.54%"
"Cibola","New Mexico","8,353","55.43%","95.55%"
"Hertford","North Carolina","8,329","55.46%","95.55%"
"Limestone","Texas","8,318","55.49%","95.56%"
"Anson","North Carolina","8,314","55.52%","95.56%"
"Conway","Arkansas","8,303","55.55%","95.57%"
"Jackson","Iowa","8,303","55.58%","95.58%"
"Kewaunee","Wisconsin","8,299","55.61%","95.58%"
"McDuffie","Georgia","8,298","55.64%","95.59%"
"Somerset","Maryland","8,296","55.67%","95.6%"
"Emanuel","Georgia","8,267","55.7%","95.6%"
"Park","Montana","8,257","55.73%","95.61%"
"Union Parish","Louisiana","8,247","55.77%","95.62%"
"Elbert","Georgia","8,245","55.8%","95.62%"
"Cassia","Idaho","8,238","55.83%","95.63%"
"Clinton","Missouri","8,238","55.86%","95.64%"
"Lajas Municipio","Puerto Rico","8,236","55.89%","95.64%"
"Naguabo Municipio","Puerto Rico","8,217","55.92%","95.65%"
"Los Alamos","New Mexico","8,211","55.95%","95.65%"
"Fayette","Iowa","8,203","55.98%","95.66%"
"Pointe Coupee Parish","Louisiana","8,202","56.01%","95.67%"
"Plaquemines Parish","Louisiana","8,200","56.04%","95.67%"
"Jerome","Idaho","8,198","56.07%","95.68%"
"Morgan","Missouri","8,198","56.11%","95.69%"
"Jackson","Wisconsin","8,198","56.14%","95.69%"
"Winneshiek","Iowa","8,197","56.17%","95.7%"
"Beckham","Oklahoma","8,192","56.2%","95.71%"
"Yancey","North Carolina","8,188","56.23%","95.71%"
"Meriwether","Georgia","8,170","56.26%","95.72%"
"Quebradillas Municipio","Puerto Rico","8,167","56.29%","95.72%"
"Benton","Missouri","8,166","56.32%","95.73%"
"Buchanan","Iowa","8,150","56.35%","95.74%"
"Logan","Colorado","8,148","56.38%","95.74%"
"Hardee","Florida","8,148","56.41%","95.75%"
"Clark","Arkansas","8,147","56.45%","95.76%"
"Lampasas","Texas","8,147","56.48%","95.76%"
"Green Lake","Wisconsin","8,143","56.51%","95.77%"
"Montague","Texas","8,142","56.54%","95.78%"
"Bourbon","Kentucky","8,128","56.57%","95.78%"
"Woodward","Oklahoma","8,116","56.6%","95.79%"
"Piscataquis","Maine","8,111","56.63%","95.79%"
"Jones","Iowa","8,109","56.66%","95.8%"
"Barnwell","South Carolina","8,107","56.69%","95.81%"
"Houston","Minnesota","8,074","56.72%","95.81%"
"Sunflower","Mississippi","8,058","56.75%","95.82%"
"Hockley","Texas","8,058","56.79%","95.83%"
"Labette","Kansas","8,057","56.82%","95.83%"
"Plumas","California","8,055","56.85%","95.84%"
"Yell","Arkansas","8,053","56.88%","95.84%"
"Westmoreland","Virginia","8,029","56.91%","95.85%"
"Wayne","Kentucky","8,028","56.94%","95.86%"
"Carroll","Indiana","8,024","56.97%","95.86%"
"Carbon","Utah","8,023","57%","95.87%"
"Dodge","Minnesota","8,018","57.03%","95.88%"
"Saline","Missouri","8,008","57.06%","95.88%"
"Mitchell","Georgia","7,995","57.09%","95.89%"
"Perry","Illinois","7,994","57.13%","95.89%"
"Orange","Indiana","7,994","57.16%","95.9%"
"Jersey","Illinois","7,984","57.19%","95.91%"
"Spencer","Indiana","7,979","57.22%","95.91%"
"Crisp","Georgia","7,966","57.25%","95.92%"
"Jay","Indiana","7,959","57.28%","95.93%"
"Dickinson","Kansas","7,958","57.31%","95.93%"
"Taylor","Wisconsin","7,943","57.34%","95.94%"
"Warren","North Carolina","7,930","57.37%","95.94%"
"Fulton","Indiana","7,927","57.4%","95.95%"
"Gray","Texas","7,926","57.43%","95.96%"
"Wyoming","West Virginia","7,926","57.47%","95.96%"
"Inyo","California","7,923","57.5%","95.97%"
"Greene","Virginia","7,912","57.53%","95.97%"
"Gunnison","Colorado","7,903","57.56%","95.98%"
"Tippah","Mississippi","7,896","57.59%","95.99%"
"Boone","West Virginia","7,894","57.62%","95.99%"
"Polk","Arkansas","7,884","57.65%","96%"
"St. Francis","Arkansas","7,881","57.68%","96.01%"
"Worth","Georgia","7,876","57.71%","96.01%"
"Lincoln","Wyoming","7,872","57.74%","96.02%"
"Allen","Kentucky","7,852","57.77%","96.02%"
"Greene","Georgia","7,846","57.81%","96.03%"
"Fayette","Illinois","7,832","57.84%","96.04%"
"Douglas","Illinois","7,821","57.87%","96.04%"
"Vernon","Missouri","7,815","57.9%","96.05%"
"Minidoka","Idaho","7,814","57.93%","96.05%"
"Lincoln","West Virginia","7,811","57.96%","96.06%"
"Unicoi","Tennessee","7,803","57.99%","96.07%"
"Patrick","Virginia","7,797","58.02%","96.07%"
"Houston","Texas","7,795","58.05%","96.08%"
"Morgan","Georgia","7,793","58.08%","96.08%"
"Poweshiek","Iowa","7,791","58.11%","96.09%"
"Union","Tennessee","7,771","58.15%","96.1%"
"Young","Texas","7,763","58.18%","96.1%"
"Perry","Indiana","7,751","58.21%","96.11%"
"Burleson","Texas","7,749","58.24%","96.11%"
"Clay","Mississippi","7,728","58.27%","96.12%"
"Cherokee","Kansas","7,727","58.3%","96.13%"
"Kalkaska","Michigan","7,716","58.33%","96.13%"
"Fentress","Tennessee","7,706","58.36%","96.14%"
"Sullivan","Indiana","7,697","58.39%","96.14%"
"Newton","Mississippi","7,697","58.42%","96.15%"
"Simpson","Kentucky","7,689","58.45%","96.16%"
"Nobles","Minnesota","7,689","58.49%","96.16%"
"Montour","Pennsylvania","7,689","58.52%","96.17%"
"Allen Parish","Louisiana","7,659","58.55%","96.17%"
"Gonzales","Texas","7,656","58.58%","96.18%"
"Breckinridge","Kentucky","7,647","58.61%","96.19%"
"Otero","Colorado","7,643","58.64%","96.19%"
"Smith","Tennessee","7,619","58.67%","96.2%"
"McIntosh","Oklahoma","7,618","58.7%","96.2%"
"Henry","Iowa","7,617","58.73%","96.21%"
"Marengo","Alabama","7,615","58.76%","96.22%"
"Edgar","Illinois","7,612","58.79%","96.22%"
"Northampton","North Carolina","7,597","58.83%","96.23%"
"Marion","Kentucky","7,590","58.86%","96.23%"
"Villalba Municipio","Puerto Rico","7,587","58.89%","96.24%"
"Colorado","Texas","7,577","58.92%","96.25%"
"Bibb","Alabama","7,571","58.95%","96.25%"
"Taylor","Florida","7,571","58.98%","96.26%"
"Prince Edward","Virginia","7,560","59.01%","96.26%"
"Tattnall","Georgia","7,551","59.04%","96.27%"
"Colonial Heights city","Virginia","7,545","59.07%","96.27%"
"Buena Vista","Iowa","7,543","59.1%","96.28%"
"Paulding","Ohio","7,543","59.13%","96.29%"
"Cedar","Iowa","7,539","59.17%","96.29%"
"Washburn","Wisconsin","7,529","59.2%","96.3%"
"Mariposa","California","7,515","59.23%","96.3%"
"Hancock","Illinois","7,515","59.26%","96.31%"
"Saluda","South Carolina","7,507","59.29%","96.32%"
"Waseca","Minnesota","7,505","59.32%","96.32%"
"Pierce","Georgia","7,496","59.35%","96.33%"
"Beadle","South Dakota","7,485","59.38%","96.33%"
"Uinta","Wyoming","7,479","59.41%","96.34%"
"Bosque","Texas","7,467","59.44%","96.34%"
"Colusa","California","7,466","59.47%","96.35%"
"Benzie","Michigan","7,466","59.51%","96.36%"
"Bayfield","Wisconsin","7,462","59.54%","96.36%"
"Hempstead","Arkansas","7,454","59.57%","96.37%"
"Wayne","Mississippi","7,446","59.6%","96.37%"
"St. James Parish","Louisiana","7,436","59.63%","96.38%"
"Santa Isabel Municipio","Puerto Rico","7,430","59.66%","96.38%"
"Sabana Grande Municipio","Puerto Rico","7,414","59.69%","96.39%"
"Crawford","Illinois","7,411","59.72%","96.4%"
"Gem","Idaho","7,406","59.75%","96.4%"
"Clayton","Iowa","7,406","59.78%","96.41%"
"Schuyler","New York","7,405","59.81%","96.41%"
"Monroe","Alabama","7,396","59.85%","96.42%"
"Sevier","Utah","7,393","59.88%","96.43%"
"Jefferson","Kansas","7,390","59.91%","96.43%"
"Leake","Mississippi","7,384","59.94%","96.44%"
"Dukes","Massachusetts","7,362","59.97%","96.44%"
"Franklin Parish","Louisiana","7,351","60%","96.45%"
"Buchanan","Virginia","7,351","60.03%","96.45%"
"Bristol city","Virginia","7,327","60.06%","96.46%"
"Perry","Missouri","7,323","60.09%","96.47%"
"Hughes","South Dakota","7,316","60.12%","96.47%"
"Dakota","Nebraska","7,299","60.15%","96.48%"
"Marion","Arkansas","7,296","60.19%","96.48%"
"Moore","Texas","7,275","60.22%","96.49%"
"Washington","Georgia","7,272","60.25%","96.49%"
"Baker","Oregon","7,263","60.28%","96.5%"
"Butler","Alabama","7,262","60.31%","96.5%"
"Richland Parish","Louisiana","7,251","60.34%","96.51%"
"Clay","Iowa","7,249","60.37%","96.52%"
"Harrison","Kentucky","7,239","60.4%","96.52%"
"Hart","Kentucky","7,222","60.43%","96.53%"
"Roosevelt","New Mexico","7,211","60.46%","96.53%"
"Morgan","West Virginia","7,211","60.49%","96.54%"
"Russell","Kentucky","7,210","60.53%","96.54%"
"Seward","Kansas","7,208","60.56%","96.55%"
"Ashley","Arkansas","7,199","60.59%","96.56%"
"Grant Parish","Louisiana","7,195","60.62%","96.56%"
"Morgan","Tennessee","7,188","60.65%","96.57%"
"Clay","Kentucky","7,178","60.68%","96.57%"
"Delaware","Iowa","7,176","60.71%","96.58%"
"Johnson","Tennessee","7,172","60.74%","96.58%"
"Eastland","Texas","7,168","60.77%","96.59%"
"Haywood","Tennessee","7,166","60.8%","96.59%"
"Ben Hill","Georgia","7,162","60.83%","96.6%"
"Macon","Alabama","7,151","60.87%","96.61%"
"Polk","Tennessee","7,144","60.9%","96.61%"
"Union","South Dakota","7,124","60.93%","96.62%"
"Richland","Wisconsin","7,119","60.96%","96.62%"
"Van Buren","Arkansas","7,115","60.99%","96.63%"
"King William","Virginia","7,115","61.02%","96.63%"
"Rabun","Georgia","7,113","61.05%","96.64%"
"Ste. Genevieve","Missouri","7,113","61.08%","96.64%"
"Hampton","South Carolina","7,104","61.11%","96.65%"
"Holmes","Florida","7,087","61.14%","96.66%"
"Burnett","Wisconsin","7,087","61.17%","96.66%"
"Covington","Mississippi","7,079","61.21%","96.67%"
"Tyler","Texas","7,073","61.24%","96.67%"
"Randolph","Arkansas","7,071","61.27%","96.68%"
"Winston","Mississippi","7,070","61.3%","96.68%"
"Spencer","Kentucky","7,062","61.33%","96.69%"
"Gaines","Texas","7,057","61.36%","96.69%"
"Gogebic","Michigan","7,038","61.39%","96.7%"
"Appling","Georgia","7,037","61.42%","96.7%"
"Bertie","North Carolina","7,024","61.45%","96.71%"
"Hardin","Iowa","7,010","61.48%","96.72%"
"Drew","Arkansas","7,004","61.51%","96.72%"
"Lamar","Georgia","7,000","61.55%","96.73%"
"Humboldt","Nevada","6,997","61.58%","96.73%"
"Adair","Kentucky","6,986","61.61%","96.74%"
"Madison","Florida","6,980","61.64%","96.74%"
"Andrew","Missouri","6,975","61.67%","96.75%"
"Wright","Missouri","6,964","61.7%","96.75%"
"Grant","Arkansas","6,955","61.73%","96.76%"
"Pickens","Alabama","6,946","61.76%","96.76%"
"Hutchinson","Texas","6,944","61.79%","96.77%"
"Lewis","West Virginia","6,940","61.82%","96.78%"
"Aitkin","Minnesota","6,935","61.85%","96.78%"
"Benton","Tennessee","6,928","61.89%","96.79%"
"Mason","Kentucky","6,927","61.92%","96.79%"
"Adair","Oklahoma","6,926","61.95%","96.8%"
"Union","Illinois","6,914","61.98%","96.8%"
"Gilchrist","Florida","6,913","62.01%","96.81%"
"Peñuelas Municipio","Puerto Rico","6,904","62.04%","96.81%"
"Southampton","Virginia","6,887","62.07%","96.82%"
"Berrien","Georgia","6,881","62.1%","96.82%"
"Marquette","Wisconsin","6,881","62.13%","96.83%"
"Franklin","Arkansas","6,878","62.16%","96.83%"
"Jefferson","Iowa","6,878","62.19%","96.84%"
"Texas","Oklahoma","6,870","62.23%","96.84%"
"Freestone","Texas","6,867","62.26%","96.85%"
"Humphreys","Tennessee","6,864","62.29%","96.86%"
"Fountain","Indiana","6,854","62.32%","96.86%"
"Wayne","Illinois","6,853","62.35%","96.87%"
"Piatt","Illinois","6,851","62.38%","96.87%"
"Iowa","Iowa","6,849","62.41%","96.88%"
"Ashland","Wisconsin","6,847","62.44%","96.88%"
"Orocovis Municipio","Puerto Rico","6,839","62.47%","96.89%"
"Greene","North Carolina","6,831","62.5%","96.89%"
"Brantley","Georgia","6,828","62.53%","96.9%"
"Sharp","Arkansas","6,810","62.57%","96.9%"
"New Madrid","Missouri","6,796","62.6%","96.91%"
"Banks","Georgia","6,787","62.63%","96.91%"
"Andrews","Texas","6,780","62.66%","96.92%"
"Giles","Virginia","6,769","62.69%","96.92%"
"Richland","North Dakota","6,764","62.72%","96.93%"
"Potter","Pennsylvania","6,757","62.75%","96.93%"
"Luquillo Municipio","Puerto Rico","6,738","62.78%","96.94%"
"Tama","Iowa","6,731","62.81%","96.95%"
"Warren","Illinois","6,722","62.84%","96.95%"
"Lee","Texas","6,720","62.87%","96.96%"
"Duchesne","Utah","6,714","62.91%","96.96%"
"Las Animas","Colorado","6,701","62.94%","96.97%"
"Brown","Indiana","6,695","62.97%","96.97%"
"Henry","Alabama","6,684","63%","96.98%"
"Lafayette","Wisconsin","6,684","63.03%","96.98%"
"DeWitt","Texas","6,683","63.06%","96.99%"
"Chickasaw","Mississippi","6,681","63.09%","96.99%"
"Crawford","Wisconsin","6,665","63.12%","97%"
"Dodge","Georgia","6,657","63.15%","97%"
"Rush","Indiana","6,650","63.18%","97.01%"
"Floyd","Virginia","6,649","63.21%","97.01%"
"Seward","Nebraska","6,645","63.25%","97.02%"
"De Witt","Illinois","6,642","63.28%","97.02%"
"Taylor","West Virginia","6,632","63.31%","97.03%"
"Madison","Iowa","6,625","63.34%","97.03%"
"Garrard","Kentucky","6,625","63.37%","97.04%"
"Dallas","Missouri","6,621","63.4%","97.04%"
"Floyd","Iowa","6,620","63.43%","97.05%"
"Stone","Mississippi","6,616","63.46%","97.05%"
"Clark","Illinois","6,597","63.49%","97.06%"
"Arkansas","Arkansas","6,587","63.52%","97.06%"
"Concordia Parish","Louisiana","6,575","63.55%","97.07%"
"Alamosa","Colorado","6,570","63.59%","97.07%"
"Idaho","Idaho","6,567","63.62%","97.08%"
"Price","Wisconsin","6,567","63.65%","97.08%"
"Appomattox","Virginia","6,563","63.68%","97.09%"
"Vermillion","Indiana","6,560","63.71%","97.09%"
"Avery","North Carolina","6,559","63.74%","97.1%"
"Leon","Texas","6,546","63.77%","97.11%"
"East Feliciana Parish","Louisiana","6,536","63.8%","97.11%"
"Cross","Arkansas","6,524","63.83%","97.12%"
"Pike","Georgia","6,505","63.86%","97.12%"
"Kossuth","Iowa","6,502","63.89%","97.13%"
"McDowell","West Virginia","6,484","63.93%","97.13%"
"Robertson","Texas","6,480","63.96%","97.14%"
"Carroll","Illinois","6,478","63.99%","97.14%"
"Kanabec","Minnesota","6,475","64.02%","97.15%"
"Nelson","Virginia","6,470","64.05%","97.15%"
"Attala","Mississippi","6,467","64.08%","97.16%"
"Grand","Colorado","6,460","64.11%","97.16%"
"Pike","Missouri","6,451","64.14%","97.17%"
"Lawrence","Arkansas","6,437","64.17%","97.17%"
"Rockcastle","Kentucky","6,428","64.2%","97.18%"
"Otoe","Nebraska","6,423","64.23%","97.18%"
"Arenac","Michigan","6,421","64.27%","97.19%"
"Mercer","Illinois","6,413","64.3%","97.19%"
"Mitchell","North Carolina","6,411","64.33%","97.2%"
"Richland","Illinois","6,401","64.36%","97.2%"
"Jasper","Mississippi","6,390","64.39%","97.21%"
"Brunswick","Virginia","6,390","64.42%","97.21%"
"Madison","Arkansas","6,381","64.45%","97.22%"
"Arroyo Municipio","Puerto Rico","6,364","64.48%","97.22%"
"Osage","Kansas","6,362","64.51%","97.23%"
"Guayanilla Municipio","Puerto Rico","6,342","64.54%","97.23%"
"Chester","Tennessee","6,333","64.57%","97.24%"
"Cook","Georgia","6,323","64.61%","97.24%"
"Neosho","Kansas","6,322","64.64%","97.24%"
"Hamilton","Iowa","6,317","64.67%","97.25%"
